Gene,MS1,MS18,MS19,MS20,MS21,MS23,MS24,sample1,sample2,sample3,sample5,sample6,sample7,sample8,sample9,sample10,sample11,sample14,sample15
A1BG,9,13,3,40,15,2,7,15,10,32,17,1,29,14,9,8,18,11,18
A1BG-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1CF,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A2M,503,400,326,660,755,268,246,762,319,2485,308,161,1104,542,1629,1809,1374,199,761
A2M-AS1,300,41,66,21,101,50,26,13,62,120,77,99,27,56,37,184,31,76,58
A2ML1,0,0,3,15,23,0,0,3,4,400,0,4,0,1524,8,0,6,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,24,18,19,4,58,13,93,45,26,119,100,4,42,84,122,67,25,8,31
A4GNT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,294,123,73,229,235,76,82,215,141,207,100,105,194,156,582,219,157,136,145
AACS,305,72,56,134,156,34,52,132,78,464,92,86,428,176,290,118,75,57,125
AACSP1,0,0,2,85,21,2,1,3,0,1,0,0,0,3,0,0,21,0,33
AADAC,0,1,0,0,0,0,0,0,2,1,0,2,0,5,6,0,4,0,0
AADACL2,0,0,0,0,4,0,0,0,3,2,0,1,0,14,0,0,3,0,0
AADACL3,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,3,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
AADAT,6,1,10,1,5,0,3,4,0,3,0,3,4,8,16,3,7,0,2
AAED1,79,31,33,55,51,3,32,20,27,55,38,33,24,51,46,31,42,68,69
AAGAB,660,294,289,462,314,257,125,266,340,301,358,335,455,326,620,455,442,378,388
AAK1,1227,1020,777,343,853,782,689,1368,1344,1228,803,854,567,1028,1096,1537,1312,1057,2084
AAMDC,5,7,2,15,8,4,7,6,3,13,9,6,5,15,11,22,11,8,10
