Gene,Label
MIR155,1
MIR145,1
MIR143,1
LUNAR1,1
MEF2C-AS2,1
HOTAIR,1
PEG10,1
HULC,1
MIR17HG,1
CSMD2-AS1,1
MME-AS1,1
SACS-AS1,1
B3GAT1-DT,1
PANDAR,1
MIR17,1
MIR21,1
MIR127,1
MIR10A,1
MIR151A,1
MIR210,1
MIR150,1
MIR221,1
MIR106A,1
MIR99A,1
MIRLET7E,1
MIR328,1
MIR95,1
MIR149,1
MIR139,1
MIR320A,1
PASD1,1
BCL6,1
BCL2,1
MYC,1
MYD88,1
CD274,1
PRDM1,1
EZH2,1
REL,1
GCSAM,1
MDM2,1
IRF4,1
CDK4,1
MME,1
CD5,1
TP53,1
TNFRSF8,1
MIR222,1
MIR34A,1
CD79B,1
CARD11,1
CD79A,1
FOXP1,1
MALT1,1
MIR181A1,1
MIR28,1
MIR142,1
BTK,1
ALK,1
BCL10,1
MIR199A1,1
STAT3,1
CCR6,1
KMT2D,1
MIR200C,1
CD19,1
PAX5,1
TNFAIP3,1
IL10,1
LMO2,1
CCND1,1
SDC1,1
SYK,1
MIR214,1
AKT1,1
AICDA,1
CD38,1
PTPRC,1
MIR27A,1
MIR200B,1
B2M,1
CREBBP,1
MCL1,1
CD40,1
SPN,1
PDCD1,1
CDKN2A,1
IL6,1
CCND3,1
EP300,1
MIR196A1,1
FBXO11,1
TNF,1
MEF2B,1
PTEN,1
MIR126,1
GNA13,1
