Gene,Label
KIT,1
PDGFRA,1
SDHB,1
SDHC,1
BRAF,1
MEN1,1
SDHA,1
HOTAIR,1
CCDC26,1
KRAS,1
PDGFRB,1
CD34,1
ETV1,1
ACTC1,1
KITLG,1
VIM,1
ABL1,1
NTRK3,1
PRKCQ,1
FLT3,1
ENO2,1
MKI67,1
DES,1
S100A1,1
S100B,1
ANO1,1
NES,1
HSP90AA1,1
SDHD,1
NF1,1
VEGFA,1
MYH11,1
EGFR,1
KCTD12,1
AKT1,1
ERBB2,1
SYP,1
TP53,1
PTEN,1
KDR,1
CDKN2A,1
CCND1,1
TEK,1
RAF1,1
CHGA,1
PDGFA,1
ABCB1,1
HIF1A,1
CD44,1
CASP3,1
NCAM1,1
IGF2,1
FGFR3,1
KCTD10,1
PDGFC,1
CDH1,1
SST,1
BCL2L11,1
ANXA5,1
VEGFC,1
SMARCB1,1
DDX39A,1
JAK2,1
SNAI1,1
WT1,1
MCL1,1
SNAI2,1
PTGS2,1
MMP9,1
CBL,1
PIK3CG,1
CDK2,1
CDK1,1
TIE1,1
CCNA2,1
MMP2,1
B3GAT1,1
NEDD9,1
ACTG2,1
ANGPT1,1
FOXM1,1
CDKN1A,1
MIR494,1
IGFBP3,1
APC,1
ANGPT2,1
L1CAM,1
UCHL1,1
SPP1,1
EP300,1
CCNB1,1
EPAS1,1
BMI1,1
KDM4D,1
BECN1,1
MIR218-1,1
DHFR,1
MIR518A1,1
CASP8,1
CASP9,1
SLITRK3,1
