Gene,Label
SFTPA2,1
MUC5B,1
TERT,1
RTEL1,1
TERC,1
RTEL1-TNFRSF6B,1
LOC110806263,1
SFTPC,1
ABCA3,1
PARN,1
SFTPA1,1
FAM13A,1
STN1,1
DPP9,1
ATP11A,1
DSP,1
SFTPD,1
TGFB1,1
CCN2,1
CCL2,1
CXCL8,1
CXCL5,1
MMP7,1
IL13,1
IL1B,1
CXCR3,1
CCL17,1
CCL22,1
IFNG,1
SERPINH1,1
CCL3,1
EDN1,1
MMP9,1
CXCL9,1
DDR1,1
CXCL12,1
ELANE,1
BMP6,1
TIMP1,1
CCL4,1
HGF,1
FGF7,1
SCGB1A1,1
PDGFA,1
PDGFB,1
MMP1,1
IGFBP5,1
CD36,1
CCL5,1
FGF2,1
IL1RN,1
IL1R1,1
CXCR2,1
FASLG,1
SPP1,1
CXCL10,1
MIR21,1
SFTPB,1
IL1A,1
IL18,1
IL9,1
MIR199A1,1
MIR142,1
CCR6,1
VCAM1,1
CXCR1,1
MIR338,1
FHIT,1
FN1,1
SPARC,1
CXCL1,1
SMAD2,1
SMAD3,1
MUC1,1
CCR7,1
MIR708,1
MIR30A,1
CCR4,1
COL1A1,1
CCL18,1
TNF,1
AGT,1
TOLLIP,1
IL6,1
DKC1,1
MIR130A,1
IL4,1
LPAR1,1
MIR34C,1
POSTN,1
TINF2,1
NOX4,1
MIR140,1
ELN,1
TGFBR1,1
ENPP2,1
VEGFA,1
CDH1,1
CD4,1
COL3A1,1
SERPINE1,1
SMAD7,1
CTNNB1,1
SIGLEC5,1
KRT18,1
ELMOD2,1
AKT1,1
ALOX5,1
IL10,1
COL1A2,1
GRP,1
PTPRC,1
LOXL2,1
IL17A,1
MMP12,1
ACTC1,1
IL33,1
CAV1,1
GAPDH,1
NOP10,1
NHP2,1
ACTB,1
CD8A,1
MIRLET7D,1
S100A4,1
TGFB2,1
IL5,1
ALB,1
CXCR4,1
CCN4,1
GREM1,1
AGTR2,1
THY1,1
TGFB3,1
SNAI1,1
GSN,1
CRP,1
SMAD4,1
CCR2,1
CHI3L1,1
AGER,1
CSF2,1
LOX,1
STAT3,1
TP53,1
TLR4,1
EGF,1
JUN,1
MUC5AC,1
HIF1A,1
THBD,1
ATP12A,1
ATP4A,1
MMP2,1
CD34,1
ACTA2,1
ITGAM,1
ARG1,1
HMGB1,1
MAPK3,1
WRAP53,1
FGF10,1
S100A1,1
LGALS3,1
MRC1,1
SPPL2C,1
ACE,1
ICAM1,1
STAT6,1
MMP8,1
SERPINA1,1
PPARG,1
