Gene,UC4,UC5,CD5,CTR1,CD2,UC3,CD1,UC2,CTR2,UC1,CD6,CTR4,CD3,CTR3,CTR5
A1BG,1.415476433,1.600609924,0.95195951,1.292296893,1.613021071,1.317927294,0.830968552,1.923843142,1.3158776,0.923065209,1.750628882,0.832044079,1.527261562,0.463762634,0.49990231
A1CF,2.59318495,1.457624784,2.610062562,4.928911755,7.938981002,5.508089932,3.875731277,1.100635571,8.074323075,4.31305644,2.407361811,7.193064799,4.683607767,10.27291165,2.205866501
A2M,276.5490895,366.5264246,408.2755743,168.1392121,314.5687041,214.6759266,270.7920918,287.1621811,223.287713,295.9865343,234.6678582,205.9766272,345.2612569,231.3442321,278.7671986
A2ML1,0,0,0,0,0,0.007965651,9.040049701,0,0,0,0,0,0,0,0
A3GALT2,0.160231488,0.142920271,0.09666842,0.35694175,0.039779294,0.092862513,0.478165677,0.144396574,0.082603389,0.434586286,0.302210225,0.084491395,0.049745365,0.114370173,0.821884727
A4GALT,9.994665151,9.788106216,4.842037162,7.561385525,5.801249671,3.89071745,6.703684449,8.880901073,4.714346084,9.972969918,9.447715266,5.468826963,9.071666016,8.211652339,10.24220707
A4GNT,0,0,3.486329351,0,2.144236621,0.018005753,0,0,0,0,3.539296447,0,0,0,0
AAAS,13.63065559,15.64007182,13.65748829,17.85432985,17.5641353,19.03506076,17.88479596,14.72722098,18.14639075,16.27320183,16.45348912,14.03011309,15.84372651,12.10065651,15.12434112
AACS,9.408002549,11.37358518,7.947692299,9.906383061,9.853033944,14.95087818,11.3729084,12.12307805,11.42568969,11.67221685,10.71421645,12.39283939,8.016433564,8.794392391,10.60795924
AADAC,0.1226188,0.408319195,18.43494541,37.28543348,19.96963386,0.056851198,0.468379163,0.1178677,0.227567146,0,17.35446288,0.025863165,9.867265443,33.84220959,0.050316462
AADACL2,0.040294202,0.071881729,0,0.04488095,0,0,1.611305491,0,0.166181449,0,0,0.23372214,0.150116542,0.345134771,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0.047567,0.043909501,0.274035133,0,0.023528787,0,0.040646112,0.02376045,0.029741324,0,0,0,0.06066292
AADAT,0.809917305,0.838933336,1.071826902,0.582007348,0.934008175,0.605663698,1.668488786,0.643547498,1.212192226,1.322738241,1.064373431,1.157238528,1.232898502,0.733507657,0.830871226
AAED1,13.09746923,15.10456175,12.77053028,8.436205902,11.23278637,11.07930729,8.448828604,15.14136181,7.741017597,13.91436087,10.87927542,8.162114215,11.25401546,10.04122122,13.87741416
