Gene,Label
IL37,1
IBD5,1
IBD2,1
IBD3,1
IBD7,1
IBD6,1
IBD8,1
IBD9,1
IBD11,1
IBD12,1
IBD15,1
IBD16,1
IBD18,1
IBD20,1
IBD21,1
IBD22,1
IBD23,1
IBD24,1
IBD26,1
IBD27,1
IBD4,1
GAS5,1
NRON,1
CBR3-AS1,1
NOD2,1
IL23R,1
ABCB1,1
TNF,1
IL10,1
ATG16L1,1
TLR4,1
IL6,1
NOD1,1
IFNG,1
TGFB1,1
IL18RAP,1
TTC7A,1
INAVA,1
IL4,1
IL23A,1
IL13,1
IL22,1
IL18,1
TLR2,1
STAT3,1
TLR5,1
FOXP3,1
ITGA4,1
S100A9,1
IL21,1
STAT4,1
STAT1,1
IL21R,1
TPMT,1
IL1B,1
STAT6,1
MPO,1
IL17A,1
IL2,1
IL10RA,1
IRGM,1
S100A8,1
HLA-B,1
CXCL8,1
IL17F,1
IL5,1
IL10RB,1
CRP,1
IL1A,1
TBX21,1
MADCAM1,1
ITPA,1
NFKB1,1
JUN,1
SLC22A4,1
RORC,1
CARD8,1
CCR6,1
LACC1,1
MLKL,1
IL26,1
SMAD2,1
AGR2,1
IRF5,1
DUOX2,1
TNFSF15,1
RIPK1,1
BTNL2,1
NOX1,1
IL4R,1
INPP5D,1
ICAM1,1
CCL20,1
IL12RB2,1
LRBA,1
IL11,1
NPSR1,1
IFNGR1,1
DEFA5,1
MST1,1
GSDMB,1
IL1R1,1
PTGS2,1
NOS2,1
KIF21B,1
GUCY2C,1
IL1RN,1
CHGA,1
SLC22A5,1
CLDN2,1
SLC37A4,1
AGT,1
PRTN3,1
MYO9B,1
PPARG,1
BPI,1
CTLA4,1
IGSF6,1
LTF,1
NR1I2,1
TNFRSF1A,1
ITGAE,1
CCL2,1
PTPN22,1
S100A12,1
TFF2,1
TJP1,1
PI4KA,1
IL12A,1
ALOX5,1
DEFB4A,1
CXCL1,1
CHI3L1,1
SLC11A1,1
CTSG,1
REG3A,1
IL15,1
SLC15A1,1
CXCL10,1
VCAM1,1
F5,1
SELE,1
TNFRSF1B,1
MAPK14,1
EBI3,1
ELANE,1
MMP3,1
IL12B,1
VDR,1
MUC3A,1
CXCL5,1
FGF7,1
TACR1,1
XBP1,1
SELL,1
VIP,1
IL1RAPL2,1
SELP,1
CCL5,1
IL6R,1
CD40,1
EPX,1
TAC1,1
RETN,1
TFF1,1
LCN2,1
SLC9A3,1
CCL11,1
CCR5,1
CD14,1
IL16,1
CASP1,1
MIF,1
LTA,1
JAK2,1
SLC26A3,1
MMP1,1
PPARA,1
PTGS1,1
DEFB1,1
TRPV1,1
PSTPIP1,1
F2RL1,1
CD80,1
CX3CL1,1
IDO1,1
IRF1,1
NR3C1,1
MICB,1
ITGAL,1
MLH1,1
SMAD7,1
IL7R,1
PECAM1,1
PYY,1
SOCS3,1
ALB,1
BGLAP,1
GCG,1
TNFRSF4,1
SOCS1,1
PIGR,1
SERPINA4,1
CCL7,1
DPP4,1
PROCR,1
CD8A,1
HSPD1,1
FCGR1A,1
TLR9,1
AREG,1
TLR3,1
LCK,1
MUC5AC,1
NTS,1
IL6ST,1
DLG5,1
ICAM3,1
MMP9,1
MMP13,1
ITGB2,1
HLA-DRB1,1
GATA3,1
CD40LG,1
PSMD4,1
ITGAM,1
IL2RA,1
PLA2G2A,1
TFF3,1
SCT,1
TLR1,1
HMOX1,1
NR1H4,1
CDH1,1
PDE4A,1
RIPK2,1
LEP,1
ENO1,1
F2,1
CCL3,1
CX3CR1,1
TIMP1,1
HLA-G,1
NR1H2,1
CXCL2,1
EGF,1
TLR6,1
IL12RB1,1
MAF,1
CCND1,1
ACKR2,1
CD55,1
IGF1,1
RELA,1
CCR9,1
NAT2,1
LGALS1,1
TEK,1
IFNB1,1
ALPI,1
CD36,1
MRC1,1
IL19,1
AMBP,1
NLRC4,1
DSG2,1
MTHFR,1
ADIPOQ,1
ICAM2,1
MMP2,1
CXCR2,1
ALOX12,1
TLR8,1
CCL4,1
TYK2,1
F2R,1
GHRL,1
CALCA,1
SERPINC1,1
STAT5B,1
ANXA1,1
IL2RG,1
MUC1,1
IL27,1
IL2RB,1
EGFR,1
CAMP,1
BMP7,1
SRC,1
CXCL12,1
HSD11B1,1
IGFBP2,1
B2M,1
NFATC1,1
CLDN4,1
TNFRSF25,1
CYLD,1
MUC4,1
REG4,1
NCF4,1
SMAD4,1
CXCR1,1
RNASE3,1
IL24,1
IL18BP,1
MAPK8,1
KNG1,1
THBD,1
NPY,1
TNFRSF6B,1
RORA,1
PIK3CD,1
LOX,1
APOB,1
LIF,1
APOA1,1
MMP7,1
VIPR1,1
CCK,1
DMBT1,1
PLA2G7,1
SST,1
GSTM1,1
ZNF365,1
CLDN1,1
IL1R2,1
CCL24,1
ICOS,1
ICOSLG,1
PI3,1
ECM1,1
KITLG,1
CCL8,1
ZMIZ1,1
CDKAL1,1
CXCL6,1
HPGD,1
SAG,1
CD160,1
CTNNA1,1
ODC1,1
POU2F1,1
LTB,1
MMP14,1
AMACR,1
ANGPT2,1
RARRES2,1
IL15RA,1
CD207,1
MICA,1
LGALS4,1
THPO,1
SBNO2,1
MYLK3,1
SOAT1,1
MUC2,1
HLA-DMA,1
CTNND1,1
MAPKAPK2,1
ST6GALNAC1,1
FNDC4,1
TACR3,1
KAT2B,1
SERPINA3,1
ADAMDEC1,1
SNX20,1
SATB1,1
PUS10,1
IRS2,1
PROC,1
SLC22A23,1
CUX1,1
IFI27,1
UBD,1
NOX3,1
CIBAR2,1
ALPK1,1
SEMA6D,1
CACNA1C,1
SQOR,1
CCL25,1
POLA1,1
USF1,1
PHOX2B,1
LY96,1
PGM1,1
IFITM2,1
RECK,1
AQP8,1
DPEP1,1
TEC,1
DAB2,1
CYBC1,1
