Gene,Label
PLAUR,1
AURKB,1
GADD45A,1
RELA,1
KRT14,1
BMPR2,1
MIAT,1
CTSB,1
ERBB3,1
MUCL1,1
TDGF1,1
HNF1A,1
CDKN1B,1
MAPK9,1
LINC-ROR,1
TXN,1
XRCC1,1
ENO1,1
GMNN,1
EZH2,1
SNAI2,1
RAD52,1
PRKAA2,1
ERBB4,1
HIF1A,1
XRCC5,1
SRC,1
EPCAM,1
MST1R,1
DPYD,1
PARP1,1
ST14,1
TIMP2,1
KRT7,1
CCNE1,1
GPX1,1
XRCC3,1
BCL2,1
SPARC,1
TWIST1,1
JAK2,1
PLCG1,1
GNAS,1
PEA15,1
NOTCH1,1
BCAR4,1
ETV4,1
LDHA,1
CDH3,1
NEAT1,1
CSNK1D,1
CHUK,1
ABCC11,1
IFNA2,1
CDC25A,1
GHRH,1
NOS2,1
PTPA,1
H2AX,1
MMP7,1
PDPN,1
PAK1,1
BCAR3,1
MED12,1
BDNF,1
HMMR,1
STAT1,1
HDAC1,1
UHRF1,1
SOX2,1
FLT4,1
ESR1,1
MMP1,1
NAT1,1
MSH6,1
PTENP1,1
ABCC1,1
NR3C1,1
TUBB,1
COX7A2L,1
AKT1,1
ERCC1,1
CCNB2,1
GAPDH,1
STARD13,1
CDK1,1
BCYRN1,1
NGF,1
WWOX,1
PTK2,1
CDC42,1
BMP7,1
PIK3R1,1
AGR2,1
CD80,1
ITGA6,1
IL10,1
ETV6,1
ING1,1
CDH1,1
CLDN7,1
STMN1,1
CUL1,1
CD24,1
THBS1,1
PSEN2,1
ID1,1
CDK6,1
NTRK2,1
DRAIC,1
CAV1,1
ECT2,1
ROR1,1
NCOA3,1
MALAT1,1
NTRK3,1
CCNA2,1
APOD,1
TGFB1,1
AKR1C3,1
RAD50,1
PIK3CG,1
NNT-AS1,1
CTNNB1,1
CSF3,1
TGFBR3,1
YBX1,1
MMP9,1
PHLDA2,1
LINP1,1
PIK3CB,1
DKK1,1
RAD21,1
CCNB1,1
FOXC1,1
FOXO1,1
TP53,1
PRKD3,1
BAK1,1
CCL2,1
TNF,1
FADD,1
PVT1,1
IGFBP1,1
KRT8,1
BIRC5,1
NT5E,1
EP300,1
PLK1,1
CRNDE,1
EPAS1,1
CDC25C,1
MAPK3,1
PTPRC,1
ALK,1
GPR161,1
CYP19A1,1
S100A4,1
ALCAM,1
FOXO3,1
LEP,1
IRS2,1
WT1,1
MAGED2,1
IL11,1
GLI1,1
MLH1,1
EPOR,1
SPHK2,1
CDC27,1
KISS1,1
IL1B,1
ABRAXAS1,1
TGFB3,1
MFGE8,1
BARD1,1
PMS2,1
SMAD4,1
STAT5B,1
CDH13,1
GNRH1,1
MACROH2A1,1
E2F3,1
ITGB4,1
CCNG1,1
ANGPT2,1
LINC00520,1
HMGCR,1
PIN1,1
CYCS,1
MMP13,1
TFAP2C,1
AFAP1,1
PFN1,1
PTPN11,1
PTK2B,1
CA9,1
ROCK2,1
CCR7,1
CIB1,1
JAK1,1
TOP1,1
HDAC4,1
CXCL12,1
CTLA4,1
EZR,1
SMAD2,1
EI24,1
HDAC6,1
IGF1,1
APC,1
HGF,1
HMGB1,1
AREG,1
ALDH1A1,1
STIM1,1
LINC01234,1
SOX9,1
OLA1,1
PDGFA,1
HEATR6,1
MMP3,1
MCL1,1
IL4,1
ABCA1,1
SYK,1
CCNH,1
ESR2,1
MMP11,1
ACTN4,1
PDGFRA,1
GPER1,1
RUNX2,1
FANCD2,1
CDH2,1
TFF1,1
EIF4E,1
GH1,1
LIFR,1
KRT18,1
CHEK1,1
CCN1,1
SMARCA4,1
FOSL1,1
RB1CC1,1
CBFB,1
AGR3,1
MSH2,1
MUC1,1
MAP2K5,1
PER1,1
EGFR,1
RAB25,1
MAPK8,1
TGFA,1
ABL1,1
PTGS2,1
MDM2,1
TGFB2,1
DNMT1,1
NRP2,1
SLC2A1,1
ATAD2,1
PIK3R2,1
BCL2L11,1
XRCC6,1
KIF15,1
CDKN1A,1
BMP4,1
QSOX1,1
FGF2,1
PDGFRB,1
FGFR3,1
CREBBP,1
FANCM,1
KEAP1,1
PTTG1,1
FASN,1
MAPK1,1
FBXW7,1
XIAP,1
CDK7,1
EIF4EBP1,1
KLF5,1
KRT5,1
LASP1,1
TIMP3,1
VEGFC,1
CCND3,1
RAD51C,1
MAP3K1,1
TP63,1
GRM1,1
JUN,1
FOXP3,1
GPNMB,1
ACTB,1
AXL,1
INPPL1,1
ZFAS1,1
NFKBIA,1
PML,1
RHOB,1
LGALS3,1
NR1H2,1
AXIN2,1
WWC1,1
DNMT3B,1
LGALS1,1
BRCA2,1
IDO1,1
CDK4,1
ARHGEF2,1
SFRP1,1
SHC1,1
SCGB2A2,1
MRE11,1
TERT,1
CD44,1
GSK3B,1
VDR,1
GDF15,1
PRDM14,1
ITGB1,1
FABP4,1
FGFR4,1
CDK2,1
RALA,1
REST,1
CASP7,1
IKBKE,1
ITGA3,1
FGFR1,1
HNRNPK,1
NF1,1
GRN,1
EPHB4,1
PTEN,1
FOXA1,1
HRAS,1
FSCN1,1
CCL5,1
SPHK1,1
S100A7,1
CASP8,1
CTSD,1
RARA,1
MAPK7,1
TUG1,1
ANXA5,1
RBBP4,1
YAP1,1
TEK,1
KLK3,1
SNCG,1
WWTR1,1
XBP1,1
CEACAM5,1
WEE1,1
TOP2A,1
HMGA1,1
CLDN3,1
ERBB2,1
ADAR,1
RAD51D,1
MVP,1
SERPINB5,1
POLE,1
ST8SIA1,1
FAS,1
UCA1,1
CDKN2B-AS1,1
BMP1,1
PRL,1
ADAM12,1
PSMB5,1
RAF1,1
JAG1,1
TYMS,1
PTK6,1
CLOCK,1
MAP2K1,1
PLAU,1
E2F1,1
ELAVL1,1
XIST,1
HBEGF,1
IGF1R,1
IGFBP3,1
KRAS,1
RASSF1,1
SKP2,1
BRAF,1
BCL2L1,1
CDKN3,1
MMP2,1
MYLK,1
SLC9A3R1,1
ANXA2,1
ABCC2,1
CDKN2A,1
KRT19,1
AKT2,1
INSR,1
IDH1,1
SOX4,1
STS,1
APOBEC3B,1
HSPB1,1
ELF3,1
SIRT1,1
DUSP1,1
CCND1,1
TNFRSF11B,1
CCAT2,1
GAB1,1
NTRK1,1
RPS6KA3,1
CXCL8,1
MAPK12,1
PRLR,1
RET,1
XRCC2,1
PXN,1
GRB7,1
MMP14,1
STAT3,1
CSF1,1
TUBB2A,1
IBSP,1
VIM,1
MET,1
CXCR4,1
KIT,1
STK11,1
EPHA2,1
CLCA2,1
RAD51,1
ATM,1
MTDH,1
WASF3,1
CHKA,1
IL17A,1
PPARG,1
LINC00511,1
EREG,1
TNFRSF10B,1
PTHLH,1
HSP90AA1,1
IFNB1,1
UIMC1,1
CD274,1
CDCA7,1
MAP2K4,1
BRCA1,1
RMST,1
GAS5,1
LINC01089,1
IL2,1
ARRDC3,1
RPS6KB1,1
LCN2,1
GATA3,1
FLT1,1
CLDN1,1
WNT5A,1
IGFBP2,1
XPO1,1
CLDN4,1
DANCR,1
CREB1,1
NFE2L2,1
RB1,1
BSG,1
TNFSF10,1
ABCB1,1
CDC25B,1
PALB2,1
PRKCD,1
COMT,1
