Gene,Label
ADRB2,1
IL13,1
ALOX5,1
MUC7,1
SCGB3A2,1
CCL11,1
HNMT,1
TNF,1
PLA2G7,1
BRCA2,1
MIR126,1
MIR148A,1
MIR148B,1
MIR152,1
HLA-G,1
PVT1,1
NPSR1,1
CYSLTR1,1
ASRT3,1
ASRT4,1
ASRT6,1
ASRT8,1
IL4R,1
RNASE3,1
CHIA,1
IL5,1
FKBP5,1
ADAM33,1
PDE4A,1
SCGB1A1,1
IRAK3,1
CYSLTR2,1
PHF11,1
PTGDR,1
LTC4S,1
TBX21,1
DPP10,1
HRH1,1
IGHE,1
HAVCR1,1
NPSR1-AS1,1
IL4,1
ORMDL3,1
TSLP,1
IL9,1
CCL5,1
CHI3L1,1
MS4A2,1
C5orf46,1
NR3C1,1
ALOX5AP,1
CSF2,1
EPX,1
FLG,1
TAC1,1
PTGDR2,1
ADA,1
CCL22,1
VCAM1,1
IL18,1
IL9R,1
MMP9,1
CCL3,1
GSTP1,1
ITGAM,1
ELANE,1
EDN1,1
KNG1,1
TPT1,1
CXCL1,1
ADAM8,1
IL2RA,1
TLR6,1
CXCL8,1
CD69,1
IGES,1
VIP,1
KITLG,1
MYLK,1
SELE,1
IL6,1
IL10,1
ALOX15,1
SELL,1
IFNG,1
STAT6,1
CCR3,1
NOD1,1
CCL24,1
TRPV1,1
CSF1,1
IL17A,1
CDHR3,1
SYK,1
IL12B,1
AREG,1
CXCL5,1
CXCL12,1
DENND1B,1
CFTR,1
CXCR4,1
CCL17,1
IL1A,1
ICAM1,1
LEP,1
PPBP,1
PTGER2,1
PLA2G2A,1
IL11,1
CCL26,1
MUC5AC,1
GATA3,1
IL5RA,1
IL1B,1
GSR,1
IL1R1,1
HRH2,1
GLCCI1,1
IL12RB2,1
IL31,1
CPA3,1
ITGA2,1
SELP,1
IL3,1
BDNF,1
NLRP3,1
IL1RN,1
MPO,1
VTN,1
CP,1
CASP8,1
GHRL,1
ADM,1
POMC,1
CD40LG,1
NGF,1
INS,1
FCER2,1
IL16,1
F2R,1
IL1RL1,1
CSF3,1
CALCA,1
MMP2,1
CREB1,1
LPO,1
MMP1,1
CD44,1
CCL2,1
TPSAB1,1
FCGR2A,1
OPRM1,1
CCL13,1
MAPK3,1
SPINK5,1
CLCA1,1
PRG2,1
CYP3A4,1
ADCYAP1,1
SOD2,1
TLR9,1
PF4,1
BGLAP,1
TLR4,1
IL18R1,1
ARG1,1
PIK3CG,1
TACR2,1
FAS,1
CCR6,1
COL26A1,1
JAK2,1
CRH,1
HDAC2,1
ADORA2B,1
CLC,1
COMT,1
NPY,1
TBXA2R,1
GSTM1,1
TLR2,1
LTA4H,1
FGFBP2,1
CAT,1
CCL7,1
ADRB1,1
LTB4R,1
SLC6A4,1
CYP2C9,1
RAPGEF3,1
PLAU,1
CMA1,1
ADRA1B,1
TGFB1,1
RASGRP4,1
F3,1
ARG2,1
FASLG,1
ABCC1,1
ACP1,1
ICOSLG,1
CXCR3,1
HP,1
PTGS1,1
P2RY12,1
IL17F,1
ABCB1,1
IL13RA1,1
NPPA,1
CTLA4,1
HBG2,1
TNFRSF10A,1
F2,1
NOS2,1
AKR1B1,1
TNFSF10,1
LAT,1
AGTR1,1
G6PD,1
HAVCR2,1
SERPINA3,1
CXCL10,1
FOXP3,1
CCR8,1
IGFBP3,1
SST,1
MB,1
CHIT1,1
KLK3,1
CD79A,1
SFTPD,1
CD14,1
CD4,1
SP1,1
TLR3,1
ADRB3,1
TIMP1,1
CYP3A5,1
GAL,1
TACR1,1
ADCY10,1
RYR2,1
SDHB,1
PNMT,1
BMP6,1
SERPINA6,1
F2RL1,1
CCR4,1
THPO,1
ITGA4,1
F2RL3,1
POSTN,1
JUN,1
GNRH1,1
SLC22A3,1
MME,1
GRK5,1
ADCY9,1
SLC22A2,1
EIF4E,1
PPARG,1
SERPINA1,1
ADAMTSL1,1
TF,1
FGA,1
MMP12,1
CXCR2,1
IL33,1
IL13RA2,1
TLR10,1
PITX2,1
CD86,1
MAPK14,1
CD28,1
RNASE2,1
MBL2,1
ADORA3,1
ADIPOQ,1
IL7,1
NOS1,1
VDR,1
CD80,1
CXCR1,1
HLA-DRB1,1
TLR1,1
IL2,1
C5AR1,1
NOD2,1
NFKBIA,1
STAT1,1
ITK,1
GAPDH,1
MIR155,1
ADORA2A,1
ADORA1,1
CCL4,1
IL6R,1
PDE4D,1
IRF1,1
CRHR1,1
IFNB1,1
CX3CR1,1
PLA2G4A,1
GSDMB,1
C3AR1,1
ITGB2,1
