Gene,Label
BRCA2,1
PALB2,1
CHEK2,1
BRIP1,1
RAD51,1
PIK3CA,1
AKT1,1
CDH1,1
ESR1,1
ATM,1
BARD1,1
RAD54L,1
TP53,1
SLC22A18,1
KRAS,1
RB1CC1,1
BRCA1,1
NBN,1
XRCC3,1
CASP8,1
PPM1D,1
PHB1,1
HMMR,1
ERBB2,1
PTEN,1
MSH6,1
MRE11,1
APC,1
RAD51D,1
MSH2,1
PMS2,1
FANCC,1
MUTYH,1
MLH1,1
RAD51C,1
MIR21,1
RAD50,1
C11orf65,1
MIR10B,1
MIR155,1
MIR221,1
MIR205,1
MIR222,1
RAD51L3-RFFL,1
MIR146A,1
MIR125A,1
MIR206,1
MIR17,1
FANCM,1
MIR31,1
MIR210,1
RET,1
MIR127,1
MIR204,1
CDC73,1
MIR661,1
MIR196A2,1
BSCL2,1
GNG3,1
HERC2,1
HNRNPUL2-BSCL2,1
MIR200C,1
MIR34A,1
MIR200B,1
MIR200A,1
MIR126,1
MIR27A,1
MIR335,1
MIR141,1
MIR182,1
MIR373,1
MIR20A,1
MIR146B,1
MIR193B,1
MIR30E,1
MIR499A,1
MIR429,1
MIR520C,1
MIR96,1
MIR128-1,1
MIR502,1
MIR199B,1
MIR451A,1
MIR510,1
MIR9-3,1
ABRAXAS1,1
NQO2,1
XRCC2,1
KLLN,1
CDK2,1
KRT19,1
BCAR4,1
SRA1,1
TP53BP1,1
SMAD7,1
ITGB1,1
HOTAIR,1
TUNAR,1
MALAT1,1
H19,1
LINC-ROR,1
DSCAM-AS1,1
HIF1A-AS2,1
GAS5,1
XIST,1
NEAT1,1
MSR1,1
UCA1,1
CDKN2B-AS1,1
PVT1,1
BCYRN1,1
ZFAS1,1
EFNA3,1
TP53COR1,1
CCAT2,1
TUG1,1
CCAT1,1
NORAD,1
HFE,1
KCNQ1OT1,1
SOX2-OT,1
HOTTIP,1
KCNK15-AS1,1
ZNF667-AS1,1
LINC00574,1
DANCR,1
LINC00511,1
SPRY4-IT1,1
CRNDE,1
CYTOR,1
SNHG16,1
HOXA11-AS,1
CASC2,1
MAGI2-AS3,1
MIAT,1
SNHG7,1
LINC00472,1
MIR31HG,1
FGF14-AS2,1
LINC01234,1
NBAT1,1
TP73-AS1,1
SNHG15,1
LINC00052,1
PANDAR,1
LINC01089,1
HOXA-AS2,1
FOXCUT,1
LINC00993,1
LINC00339,1
LINC00160,1
PDCD4-AS1,1
MEG3,1
ST8SIA6-AS1,1
STXBP5-AS1,1
EPB41L4A-DT,1
WT1-AS,1
PTPRG-AS1,1
JADRR,1
CCDC26,1
MANCR,1
LINC01016,1
EGOT,1
NNT-AS1,1
RMST,1
RASSF1-AS1,1
FOXC2-AS1,1
IRAIN,1
LINC00628,1
LINC00520,1
LINC00901,1
DIRC3,1
LINC00958,1
DLEU1,1
LINC02099,1
CASC22,1
LINC01116,1
ADARB2-AS1,1
CLDND1,1
MNX1-AS1,1
LINC00598,1
PINK1-AS,1
HMMR-AS1,1
CERNA2,1
DPP10-AS1,1
DRAIC,1
ERVH48-1,1
IGKV@,1
KLF3-AS1,1
LINC00636,1
LINC01405,1
LINC01671,1
LINC02130,1
LINP1,1
LNCRNA-ATB,1
MIR2052HG,1
NKILA,1
OR3A4P,1
PKD1P6-NPIPP1,1
PTENP1,1
PGR,1
ERBB3,1
FGFR2,1
CCND1,1
TFF1,1
MIR145,1
CTSD,1
CYP19A1,1
AR,1
MIR143,1
NCOA3,1
EGFR,1
MIR30A,1
MTOR,1
MYC,1
CTNNB1,1
NRG1,1
MIR9-1,1
MIR181A1,1
MUC1,1
PIP,1
HRAS,1
BCL2,1
MIR149,1
ESR2,1
MIR191,1
BRMS1,1
MIR22,1
EGF,1
MIR18A,1
MIR101-1,1
CYP17A1,1
MIR195,1
MIR181B1,1
MIR122,1
MIR29C,1
MIRLET7D,1
SMAD4,1
MKI67,1
RHOA,1
MIR497,1
MIRLET7I,1
MIR328,1
MIR203A,1
MIR202,1
FGFR4,1
CDK1,1
ANKRD30A,1
FBXW7,1
MIR148A,1
MIRLET7F1,1
ERBB4,1
MIR152,1
MIR98,1
PRLR,1
ABCG2,1
IGF1R,1
AXL,1
MIR136,1
MIR320A,1
VEGFA,1
CDKN1A,1
BCAR1,1
CASP3,1
CDK4,1
ROCK1,1
MIR181D,1
KRT14,1
CDKN1B,1
MIR663A,1
MIR181A2,1
STK11,1
BCAS1,1
SCGB2A2,1
MIR29B2,1
BCAR3,1
IGF2,1
VEGFC,1
CCND2,1
XBP1,1
VEGFD,1
NME1,1
BRAF,1
CHEK1,1
CDC25A,1
MDM2,1
FGF3,1
GATA3,1
TGFA,1
TOP2A,1
MIR124-3,1
MIR128-2,1
MIRLET7A3,1
MIRLET7F2,1
AURKA,1
EP300,1
