Gene,Label
FGFR3,1
TP53,1
MIR21,1
MIR214,1
LNMICC,1
TMPOP2,1
CCND1,1
STAT3,1
HOTAIR,1
GAS5,1
PVT1,1
CCEPR,1
UCA1,1
TUG1,1
CDKN2B-AS1,1
NEAT1,1
MALAT1,1
CCAT1,1
CRNDE,1
CCAT2,1
TUSC8,1
SNHG12,1
NNT-AS1,1
H19,1
SNHG16,1
ZNF667-AS1,1
PAX8-AS1,1
BCAR4,1
HAGLR,1
MEG3,1
CARD8-AS1,1
HULC,1
LINP1,1
NPTN-IT1,1
HOXA11-AS,1
BLACAT1,1
SPRY4-IT1,1
BCYRN1,1
TP53COR1,1
PCAT1,1
ZNRD1ASP,1
MIR100HG,1
MIR9-3HG,1
MIR31HG,1
PANDAR,1
LINC01101,1
EWSAT1,1
HTATIP2,1
APBB3,1
LINC02633,1
RNY1,1
RNY3,1
RSU1P2,1
SLC16A1-AS1,1
MIR143,1
MIR23B,1
MIR196B,1
MIRLET7B,1
MIRLET7C,1
PIK3CA,1
SMAD4,1
AKT1,1
CTNNB1,1
PTEN,1
ERBB2,1
MTOR,1
HRAS,1
MAPK1,1
FBXW7,1
NFE2L2,1
EP300,1
U2AF1,1
CREBBP,1
ERBB3,1
GNAS,1
LRRC56,1
TP63,1
STK11,1
ST20,1
CDKN2A,1
UBE3A,1
RUBCNL,1
FHIT,1
BCL2,1
KRT14,1
LETMD1,1
CDKN1A,1
CASP3,1
MYC,1
RB1,1
TERT,1
DAPK1,1
CASP8,1
AURKA,1
EEF1A1,1
BAX,1
POU2F3,1
PIWIL4,1
MIR2861,1
PTGS2,1
BIRC5,1
CASP9,1
MMP2,1
HIF1A,1
RASSF1,1
NOTCH1,1
MDM2,1
ZNF268,1
MYLK,1
VEGFC,1
CA9,1
CADM1,1
KRT19,1
PARP1,1
CD44,1
MIR196A1,1
SERPINB3,1
HLA-DQB1,1
CDK1,1
CCNB1,1
CYCS,1
HLA-A,1
TERC,1
SERPINB4,1
MIR34A,1
TP73,1
TIMP3,1
MIR15A,1
MIR9-1,1
EBAG9,1
YY1,1
MIR145,1
MIR146A,1
CDH13,1
RARB,1
POU4F1,1
TYMP,1
MIR17,1
MIR195,1
CDC6,1
MIR361,1
MIR205,1
CDK2,1
MIR200A,1
CCNA2,1
MIR186,1
PPP2R1B,1
MIR31,1
MIR93,1
TNFRSF10B,1
