Gene,Label
CTNNB1,1
BRAF,1
PIK3CA,1
PDGFRL,1
TP53,1
APC,1
CHEK2,1
AXIN2,1
PLA2G2A,1
EP300,1
MLH3,1
BAX,1
NRAS,1
AKT1,1
DCC,1
FLCN,1
MCC,1
BUB1,1
BUB1B,1
FGFR3,1
PTPRJ,1
RAD54B,1
DLC1,1
PTPN12,1
MLH1,1
MSH6,1
MSH2,1
MT-CO1,1
CCND1,1
TLR2,1
AURKA,1
SRC,1
KRAS,1
PMS2,1
SMAD4,1
MUTYH,1
POLE,1
CDH1,1
EPCAM,1
ERBB2,1
PTEN,1
PIK3R1,1
PMS1,1
BRCA2,1
ATM,1
FBXW7,1
IGF2,1
MET,1
POLD1,1
BRCA1,1
PPARG,1
CTNNA1,1
RET,1
MIR145,1
MIR143,1
AMER1,1
MIR21,1
PALB2,1
MIR34A,1
MT-CO2,1
BRIP1,1
FZD3,1
FGFR2,1
SOX9,1
MRE11,1
MT-CYB,1
ARID1A,1
GREM1,1
MIR203A,1
MYO1B,1
MT-ND4L,1
PKHD1,1
DMD,1
BCL10,1
RBFOX1,1
BLM,1
MT-ND1,1
SLC9A9,1
TCERG1,1
C11orf65,1
INS-IGF2,1
MIR126,1
MIR215,1
MIR140,1
MIR141,1
MIRLET7A1,1
MIR192,1
MIR34C,1
MIR127,1
MIR26A1,1
MIR342,1
MIR100,1
MIR451A,1
MIR34B,1
CRCS2,1
CRCS11,1
CRCS5,1
CRCS6,1
CRCS9,1
CRCS7,1
CRCS8,1
E2F4,1
ZEB1,1
HOTAIR,1
CCAT2,1
PVT1,1
UCA1,1
GAS5,1
NEAT1,1
CYTOR,1
UHRF1,1
XIST,1
PCAT1,1
ZFAS1,1
HOTTIP,1
CCAT1,1
MALAT1,1
SNHG16,1
LINC00858,1
AGO2,1
CRNDE,1
LINC-ROR,1
SNHG6,1
TP53COR1,1
CDKN2B-AS1,1
KCNQ1OT1,1
TUG1,1
SNHG1,1
HNF1A-AS1,1
AFAP1-AS1,1
TUSC7,1
TFDP1,1
NPTN-IT1,1
CAHM,1
H19,1
LINC00261,1
FEZF1-AS1,1
DANCR,1
BANCR,1
SPRY4-IT1,1
PRNCR1,1
RPL34-DT,1
ZEB1-AS1,1
CASC2,1
LINC01133,1
TINCR,1
MIR31HG,1
PANDAR,1
MNX1-AS1,1
HOTAIRM1,1
BLACAT1,1
SNHG5,1
IQANK1,1
SLC25A25-AS1,1
CASC19,1
SNHG17,1
SOX5,1
LINC00472,1
HEIH,1
NCRUPAR,1
BCAR4,1
DPP10-AS1,1
HOXA11-AS,1
HOXB-AS3,1
DACOR1,1
BCYRN1,1
LINC00460,1
CASC11,1
GHET1,1
SOX2-OT,1
GAPLINC,1
NORAD,1
HOXA-AS2,1
RHO,1
SNHG12,1
FTX,1
CASC8,1
SNHG20,1
TMEM238L,1
CBR3-AS1,1
MEG3,1
LINC00659,1
BACE1-AS,1
LINC-PINT,1
LEF1-AS1,1
GSEC,1
HIF1A-AS1,1
TP53TG1,1
LINC01567,1
DLEU7-AS1,1
NNT-AS1,1
FOXP4-AS1,1
SNHG3,1
SOX21-AS1,1
LINC00538,1
FBXL19-AS1,1
PURPL,1
GPRC5D-AS1,1
TUSC8,1
C10orf143,1
ZNF582-DT,1
VIM-AS1,1
