Gene,Label
APC,1
MUTYH,1
CASP10,1
KRAS,1
IRF1,1
ERBB2,1
FGFR2,1
KLF6,1
PIK3CA,1
IL1RN,1
IL1B,1
MIR21,1
MIR221,1
MIR25,1
MIR145,1
MIR20A,1
MIR27A,1
MIR143,1
MIR215,1
MIR34A,1
MIR106B,1
MIR93,1
MIR141,1
MIR196B,1
MIR122,1
MIR15B,1
MIR192,1
MIR200C,1
MIR222,1
MIR203A,1
MIR150,1
MIR451A,1
SOD2,1
GACAT2,1
GACAT3,1
MUC2,1
FENDRR,1
LINC00673,1
HOTAIR,1
GAPLINC,1
YAP1,1
PVT1,1
CYTOR,1
UCA1,1
CCAT1,1
EGFLAM-AS1,1
GAS5,1
CDKN2B-AS1,1
NEAT1,1
ZFAS1,1
HOTTIP,1
TINCR,1
PCAT1,1
XIST,1
AFAP1-AS1,1
SNHG1,1
FRGCA,1
SNHG5,1
MIR4435-2HG,1
LINC00261,1
PRDM16-DT,1
MALAT1,1
ABHD11-AS1,1
HOXA13,1
GHET1,1
HOXA11-AS,1
H19,1
TUG1,1
MEG3,1
CCAT2,1
SNHG8,1
CASC2,1
RIOX2,1
SOX2-OT,1
BANCR,1
TUSC7,1
DANCR,1
FEZF1-AS1,1
LINC-ROR,1
ZEB1-AS1,1
SPRY4-IT1,1
SNHG12,1
SNHG16,1
TP53COR1,1
CASC9,1
BCAR4,1
SNHG6,1
SNHG15,1
PRNCR1,1
HNF1A-AS1,1
HIF1A-AS2,1
HOXA-AS2,1
KCNQ1OT1,1
DMTF1,1
PANDAR,1
LINC01234,1
BLACAT1,1
BNC2-AS1,1
MIR31HG,1
HAGLR,1
TDRG1,1
RMRP,1
CBR3-AS1,1
SGK1,1
MACC1-AS1,1
WT1-AS,1
LINC00052,1
AFDN-DT,1
PRSS21,1
RUNX1-IT1,1
ZMAT1,1
SLC7A11-AS1,1
HULC,1
FER1L4,1
PTENP1,1
CRNDE,1
NPTN-IT1,1
CASC15,1
AGAP2-AS1,1
SNHG7,1
LINC00668,1
MIAT,1
MAP3K20-AS1,1
SNHG14,1
TMEM238L,1
SNHG20,1
CEBPA-DT,1
VTRNA2-1,1
TRERNA1,1
SMIM31,1
LINC00628,1
INHBA-AS1,1
LINC00941,1
NCRUPAR,1
GATA6-AS1,1
RPL34-DT,1
DLEU1,1
TNFRSF10A-AS1,1
LINC01612,1
LIM2-AS1,1
EGOT,1
ENTPD1-AS1,1
MDC1-AS1,1
VPS9D1-AS1,1
INTS7,1
SLC5A4-AS1,1
RNF32-DT,1
MYLK-AS1,1
SUCLG2-DT,1
A2M-AS1,1
HAGLROS,1
SILC1,1
PWRN1,1
LINC00901,1
PCNA-AS1,1
AKR7L,1
ANXA2P2,1
DUXAP8,1
DUXAP9,1
ERVH48-1,1
GPR65,1
KRT18P55,1
KRT7-AS,1
LINC00572,1
LINC01097,1
LINC01772,1
LINC01856,1
LINC02461,1
LNCRNA-ATB,1
MIR3936HG,1
MSTO2P,1
MT1DP,1
OR3A4P,1
PANTR1,1
RN7SK,1
SFTA1P,1
SH3RF3-AS1,1
SUMO1P3,1
TCONS_00068220,1
TSNAX-DISC1,1
ZFHX4-AS1,1
CDH1,1
TP53,1
MIR223,1
MIR106A,1
MIR214,1
CTNNB1,1
MIR107,1
MIR423,1
MIR24-1,1
MIR512-1,1
MIR191,1
MIR92A2,1
MET,1
ERBB3,1
MIR24-2,1
MLH1,1
RUNX3,1
GKN2,1
EGFR,1
GKN1,1
TFF1,1
FANCI,1
S100A8,1
MYC,1
AFP,1
TGFBR2,1
PSCA,1
CEACAM5,1
GAST,1
VEGFA,1
MUC5AC,1
CDX2,1
CTNNA1,1
MUC6,1
BCL2,1
RUFY3,1
TACC1,1
TFF2,1
CDKN2A,1
TYMS,1
PTGS2,1
CAPN9,1
CCND1,1
CDH17,1
DPYD,1
TYMP,1
NRAS,1
MSH2,1
VEGFC,1
CD44,1
PTEN,1
MMP7,1
MMP2,1
MMP9,1
CASP3,1
NME1,1
CDKN1A,1
EGF,1
KRT20,1
FHIT,1
SMAD4,1
CCKBR,1
HGF,1
PAK1,1
UMPS,1
BAX,1
WNT6,1
HIF1A,1
WNT2B,1
MGMT,1
CDKN1B,1
PLAU,1
TOP2A,1
ABCB1,1
AURKA,1
GSTP1,1
CLDN4,1
BIRC5,1
CCDC136,1
DNMT1,1
TGFA,1
TERT,1
VEGFD,1
GRB7,1
SERPINA3,1
TWIST1,1
TFF3,1
IQGAP1,1
SERPINB5,1
RASSF1,1
CDX1,1
NOTCH1,1
URGCP,1
FLT4,1
GLI1,1
MAGEA1,1
MUC1,1
FASLG,1
CCNB1,1
CACYBP,1
CLDN18,1
CXCL8,1
AKT1,1
TGFB1,1
HPSE,1
FAS,1
EFNA1,1
SNAI1,1
CDKN2B,1
DAPK1,1
HBEGF,1
S100A6,1
STAT3,1
MIR196A1,1
GSDMA,1
CLDN3,1
NAA15,1
MAGEA3,1
PLAUR,1
BCL2L1,1
MMP14,1
ZFHX3,1
ABCC1,1
MIR199A1,1
ERCC1,1
MIR129-1,1
SKP2,1
GACAT1,1
RHOA,1
KRT18,1
CASP8,1
MIR149,1
MTDH,1
CASP9,1
CD82,1
SMAD2,1
PCNA,1
MIR126,1
MIR125A,1
FLNC,1
TIMP2,1
PIWIL1,1
MIR30A,1
ZEB2,1
MIR29C,1
GCRG224,1
PGA4,1
PLK1,1
PGA3,1
CCND2,1
ODC1,1
MIR29B1,1
MIR17,1
THBS1,1
JUN,1
PGA5,1
CEACAM6,1
MIR139,1
GSTM1,1
CDH2,1
TIMP3,1
TNFRSF6B,1
MAPK3,1
MIR27B,1
HNF4A,1
CEACAM1,1
ZKSCAN1,1
MIR144,1
MIR22,1
FGF7,1
EZH2,1
MSH6,1
UBE2C,1
CCNA1,1
KLF4,1
ECT2,1
HRH2,1
ABCG2,1
E2F1,1
DNMT3B,1
ATAD2,1
TERC,1
KDR,1
CDK12,1
S100A4,1
RARB,1
RPL15,1
TGFBR1,1
TP73,1
MYBL2,1
REG4,1
MIR16-1,1
POLR1H,1
CDK2,1
LMNB2,1
MIR193A,1
CLDN23,1
MTHFR,1
TPX2,1
XRCC1,1
AREG,1
MKI67,1
MIR152,1
EIF4EBP1,1
MAPK1,1
MCM4,1
MIR130A,1
MUC4,1
ESM1,1
KIF15,1
MIR9-1,1
LBR,1
MIR146A,1
TIMP1,1
FEZF1,1
PTPN11,1
SMAD7,1
SLC2A1,1
MIR148A,1
CTNND1,1
RRP7A,1
MAPK8,1
ANXA5,1
KRT19,1
CNDP2,1
CYCS,1
ITGB1,1
MIR155,1
SOX2,1
PTCH1,1
WNT9A,1
CENPF,1
CHEK2,1
UBE2T,1
MIR361,1
PRDM2,1
MIRLET7A1,1
MIR338,1
BRCA1,1
CTSD,1
MIR10B,1
MIR124-1,1
TLR4,1
DIABLO,1
CD274,1
ETS1,1
DKK3,1
OGG1,1
MMP3,1
MIR425,1
FAT2,1
ALDH2,1
S100P,1
MIR204,1
MIR31,1
IFI27,1
BSG,1
MIR92A1,1
PSG2,1
SFRP1,1
CTAG2,1
EMCN,1
TNFRSF10A,1
EPCAM,1
WNT3,1
MIR18A,1
H3-3A,1
BID,1
SPP1,1
SP1,1
CXCR2,1
CCR7,1
TNF,1
MIR200B,1
GDF15,1
ANGPT2,1
PPHLN1,1
TES,1
IL6,1
CFLAR,1
RB1,1
BMP6,1
MCL1,1
PHB1,1
BRAF,1
GIPC3,1
IL10,1
HLTF,1
CD9,1
MIR29A,1
HDAC1,1
MIR195,1
MIR205,1
MIR539,1
MIR133A1,1
CCNE1,1
SRC,1
MIR182,1
FADD,1
MIR675,1
MIR185,1
MIR15A,1
MIR23A,1
MIR140,1
MIR23B,1
CLDN7,1
MIR335,1
MDK,1
MIR181A1,1
ERBB4,1
ZEB1,1
FLT1,1
MUC16,1
CCNA2,1
HSP90AA1,1
BCL2L11,1
NFKBIA,1
FUT3,1
SERPINA1,1
PARP1,1
ALB,1
SMAD3,1
ARID1A,1
RAC1,1
CDK1,1
MIR183,1
ENG,1
STK11,1
ELAVL1,1
RPS6KB1,1
MDM2,1
FGFR1,1
H4-16,1
MIR99A,1
TNFSF10,1
