Gene,Label
MSH2,1
MIR21,1
MIR221,1
MIR222,1
MIR296,1
MIR34A,1
MIR137,1
MIR182,1
MIR326,1
MIR451A,1
GLIDR,1
NOS2,1
LINC02604,1
HOTAIR,1
MIR17HG,1
GAS5,1
TP73-AS1,1
HOTAIRM1,1
HIF1A-AS2,1
AGAP2-AS1,1
MALAT1,1
DGCR5,1
H19,1
XIST,1
TUG1,1
MIR155HG,1
CYTOR,1
MCM3AP-AS1,1
MIAT,1
BCYRN1,1
PCAT1,1
SNHG7,1
APTR,1
PART1,1
CNTN2,1
GAPLINC,1
RAMP2-AS1,1
HOXA-AS3,1
TUSC7,1
PWAR5,1
ANKH,1
MEG3,1
LINC00173,1
LINC00572,1
LINC00663,1
LINC00689,1
LINC00963,1
LINC01104,1
LINC01116,1
LINC01277,1
LINC01471,1
LINC01494,1
LOC100130691,1
LOC105377407,1
LOC285638,1
LOC441242,1
NCRUPAR,1
PDYN-AS1,1
PTCSC2,1
RBM5-AS1,1
RPS3AP25,1
SNHG4,1
WEE2-AS1,1
PTEN,1
EGFR,1
TP53,1
IDH1,1
PIK3CA,1
ERBB2,1
FGFR1,1
MTOR,1
MIR10B,1
MIR181C,1
MGMT,1
MIR128-1,1
MIR210,1
MIR125B1,1
MIR25,1
MIR155,1
MIR197,1
HRAS,1
MIR149,1
MIR486-1,1
MIR24-1,1
MIR23A,1
PIK3R1,1
MIR185,1
ATM,1
MYCN,1
MIR125B2,1
H3-3A,1
MIR23B,1
MIR132,1
MIR328,1
MIR130A,1
MIR191,1
MIR133B,1
MIR323A,1
NRAS,1
BRAF,1
MIR181A2,1
MIR425,1
MIR24-2,1
MIR9-2,1
PDGFRA,1
FBXW7,1
CDK4,1
DMBT1,1
DNMT3A,1
CREBBP,1
POLE,1
PDGFB,1
VEGFA,1
MDM2,1
CDKN2A,1
AKT3,1
PDGFRB,1
EGF,1
HIF1A,1
PRKCA,1
STAT3,1
MYCNOS,1
RB1,1
SLX4,1
MET,1
CDK2,1
PRKCH,1
CDKN1A,1
GFAP,1
PPARG,1
LGI1,1
LRRC56,1
SPHK1,1
PRKCB,1
CDK6,1
C11orf65,1
NES,1
PIK3CG,1
CDKN2B,1
AKT1,1
ALK,1
IDH2,1
PTK2,1
MAPK8,1
MYC,1
AKT2,1
TNFRSF10B,1
IL13RA2,1
CCND1,1
NDRG2,1
ROS1,1
E2F1,1
BRCA2,1
GOPC,1
TGFB2,1
CHI3L1,1
KDR,1
ADGRB1,1
GLI1,1
PRKCI,1
MAPK1,1
PDGFA,1
GPNMB,1
MMP2,1
FASLG,1
IGF1R,1
ERBB3,1
TET1,1
LEF1,1
MAPK3,1
MTDH,1
NDRG4,1
RPS6KB1,1
ANXA5,1
CDKN1B,1
RAC1,1
NF1,1
RHOA,1
PHF3,1
GLIPR1,1
PLAUR,1
CHTOP,1
KIT,1
ADGRD1,1
SRC,1
CXCR4,1
TNFSF10,1
FLT1,1
BIRC5,1
TNC,1
PINK1,1
IL13,1
BAX,1
CD44,1
FGFR2,1
PLAU,1
CDKN3,1
TERT,1
IGFBP2,1
VEGFB,1
EPHA2,1
MDM4,1
MIR31,1
WDR11,1
RAF1,1
FMNL1,1
PDPK1,1
VEGFC,1
CASP3,1
TNFRSF12A,1
SETD2,1
BCL2L1,1
CCND2,1
IL4R,1
PIK3CD,1
ANGPT2,1
CASP8,1
BCL2,1
CTNNB1,1
GAB1,1
PRKCZ,1
OLIG2,1
MMP9,1
H3-3B,1
KRAS,1
PARP1,1
CXCL12,1
CCND3,1
APC,1
PTPRZ1,1
ABCC1,1
IFI27,1
CASP9,1
PTN,1
FOXO3,1
BRCA1,1
H3C4,1
TNFRSF10A,1
FOXO1,1
DDIT3,1
SIRPA,1
IGF1,1
CDC42,1
GSK3B,1
RHOD,1
CRYAB,1
ATRX,1
MAP2K1,1
CDH1,1
GRPR,1
GRB2,1
MSH6,1
GJA1,1
FGF2,1
H3C1,1
SHH,1
AGAP2,1
MCL1,1
TSC2,1
CYCS,1
NF2,1
IGF2,1
CCNE1,1
ETS2,1
DIABLO,1
MIR148A,1
PIK3CB,1
