Gene,HCC_122_N,HCC_122_T,HCC_34_N,HCC_34_T,HCC_36_N,HCC_36_T,HCC_37_N,HCC_37_T,HCC_77_N,HCC_77_T,HCC_12_N,HCC_12_T,HCC_13_N,HCC_13_T,HCC_15_N,HCC_15_T,HCC_19_N,HCC_19_T,HCC_1_N,HCC_1_T
1/2-SBSRNA4,0.15,0.51,0.58,0.22,0.79,0.1,0.93,0.35,0.11,0.07,0,0.23,0.28,0.28,0,0.1,0.62,0.11,0.23,0.51
A1BG,1456.93,1211,261.86,124.6,131.95,233.7,240.85,77.04,1365.94,812.34,531.6,432.49,1156.5,375.97,602.63,66.72,1005.5,755.77,1007.24,415.02
A1BG-AS1,0.26,0.04,0.12,0.08,0.7,0.1,1.42,0.18,0.3,0.28,0.29,0.44,0.11,0.11,0.3,0.17,0.88,0.25,0.22,1.19
A1CF,30.59,31.23,20.97,33.74,19.37,25.57,10.73,24.66,18.45,39.93,16.89,14.21,6.7,14.39,17.06,35.24,13.46,22.6,15.12,14.75
A2LD1,1.57,17.51,2.25,2.76,2.14,1.09,1.92,2.3,2.59,4.96,3.16,2.83,1.78,2.06,1.4,3.07,2.23,1.83,1.95,2.22
A2M,795.84,105.57,1504.57,127.49,1530.92,862.53,734.31,1112.53,1207.93,993.82,775.17,337.47,920.5,282.82,2353.95,725.05,1295.51,1153.76,1042.4,727.62
A2ML1,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0
A2MP1,0.04,0.08,0.24,0,0.04,0,0.1,0.12,0.03,0,0.1,0.09,0,0,0.31,0.04,0.19,0.08,0.04,0.14
A4GALT,0.95,2.42,0.13,0.32,0.36,0.29,3.46,0.37,1.03,1.83,0.27,1.5,0.17,0.27,0.33,0.35,3,0.75,1.27,5.05
A4GNT,0.02,0,0.15,0,0.43,0,0.55,0,0,0,0.03,0,0,0.02,0,0,0.93,0,0.21,0.03
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAA1,0.01,0,0,0,0.01,0.31,0,0,0,0,0,0,0,0.11,0,1.18,0,0.02,0,0.11
AAAS,11.76,17.28,6.64,14.39,10.67,6.5,13.56,16.51,11.05,13.45,12.88,16.46,10.26,23.65,10.8,21.45,14.98,16.06,12.11,21.41
AACS,1.42,0.66,0.44,0.46,3.12,2.03,4.35,4.05,1.51,1.25,2.02,1.65,0.92,10.14,1.14,4.29,3.04,3.88,2.01,5.03
AACSP1,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0
AADAC,245.89,84.51,464.41,1128.48,410.13,729.79,178.85,671.1,239.01,238.03,226.28,283.33,241.66,158.78,348.69,365.36,285.47,476.97,180.23,171.5
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0
AADAT,12.3,15.68,16.21,5.03,7.36,4.24,5.58,3.07,9.28,11.07,21.16,5.71,11.41,1.1,15.45,4.07,10.2,4.49,23.9,2.99
AAGAB,4.77,9.66,7.44,11.05,15.71,16.54,12.64,15.81,7.16,8.36,4.68,10.82,3.87,21.22,5.92,15.9,8.67,13.68,6.21,10.72
AAK1,0.56,0.89,0.29,0.95,0.92,1.24,1.23,0.6,0.48,0.88,0.37,0.6,0.24,0.58,0.69,0.72,0.7,0.73,0.4,1.16
AAMP,46.24,51.6,20.15,31.1,26.17,20.67,38.73,36.12,34.26,35.32,47.86,42.67,46.27,67.18,21.61,53.36,50.7,57.3,52.3,80.32
AANAT,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AARS,24.94,46.65,16.99,34.47,22.33,37.55,24.05,53.06,24.12,27.47,22.07,42.78,26.86,38.64,18.04,71.81,25.5,85.7,28.78,45.79
AARS2,2.39,5.64,0.9,2.54,1.39,0.81,2.35,2.35,2.24,3.08,1.57,2.33,1.43,3.64,2.17,3.94,2.8,4.3,2.05,3.78
