Gene,Label
AXIN1,1
PIK3CA,1
TP53,1
CTNNB1,1
APC,1
IGF2R,1
CASP8,1
PDGFRL,1
MET,1
TERT,1
MIR21,1
MIR34A,1
MIR155,1
MIR18A,1
MIR122,1
MIR17,1
MIR200B,1
MIR221,1
MIR224,1
MIR146A,1
MIR27A,1
MIR93,1
MIR23A,1
MIR143,1
MIR195,1
MIR23B,1
MIR223,1
MIR25,1
MIR222,1
MIR181A1,1
MIR19A,1
MIR20A,1
MIR181C,1
MIR181A2,1
MIR29A,1
MIR106B,1
MIR22,1
MIR24-2,1
MIR127,1
MIR181B1,1
MIR203A,1
MIR191,1
MIR196A2,1
MIR181B2,1
CDKN3,1
MTUS1,1
STARD13,1
STAT3,1
HULC,1
HEIH,1
UCA1,1
H19,1
FOXM1,1
GLUL,1
LINC00261,1
CASC15,1
HOTAIR,1
YAP1,1
ICAM1,1
NEAT1,1
PVT1,1
TUG1,1
HOTTIP,1
CYTOR,1
CCAT1,1
DANCR,1
CDKN2B-AS1,1
XIST,1
CRNDE,1
SNHG1,1
MALAT1,1
SNHG6,1
CASC2,1
TCF7,1
CCAT2,1
KCNQ1OT1,1
MEG3,1
MIR7-3HG,1
GAS5,1
TFDP1,1
LINC-ROR,1
ZFAS1,1
TP53COR1,1
ZEB1-AS1,1
AFAP1-AS1,1
SPRY4-IT1,1
PCAT1,1
NPTN-IT1,1
HOXA13,1
SNHG3,1
HOXA11-AS,1
BANCR,1
HNF1A-AS1,1
SNHG12,1
MIR22HG,1
HAGLR,1
SNHG15,1
PCBP2-OT1,1
UFC1,1
FTX,1
SNHG20,1
DGCR5,1
TP73-AS1,1
NR2F1-AS1,1
CDR1,1
DBH-AS1,1
SOX2-OT,1
LINC01419,1
PANDAR,1
GHET1,1
HOXA-AS2,1
NORAD,1
CASC11,1
LINC00974,1
HSPA6,1
PCNA-AS1,1
LINC01138,1
TUSC7,1
NNT-AS1,1
RIOX2,1
C20orf204,1
LINC00665,1
CBR3-AS1,1
