Gene,Label
BRAF,1
SLC22A18,1
EGFR,1
IRF1,1
ERCC6,1
KRAS,1
ERBB2,1
PIK3CA,1
PRKN,1
PPP2R1B,1
CASP8,1
CYP2A6,1
FASLG,1
MAP3K8,1
ALK,1
AKT1,1
MAP2K1,1
MET,1
EGFR-AS1,1
PTEN,1
NRAS,1
MIR21,1
MIR17,1
MIR126,1
ROS1,1
MIR145,1
MIR125A,1
MIR205,1
MIR141,1
BRCA1,1
MIR183,1
MIR19A,1
MIR221,1
MIR130A,1
MIR197,1
MIR20A,1
MIRLET7C,1
SLMAP,1
MIR128-2,1
PGBD3,1
MIR486-1,1
MIR34A,1
MIR15A,1
MIR200C,1
MIR93,1
MIR29C,1
MIR185,1
MIR29A,1
MIR200B,1
MIR34C,1
MIR200A,1
MIR30D,1
MIR18A,1
MIR98,1
MIRLET7D,1
MIRLET7E,1
MIR499A,1
MIR137,1
MIR107,1
MIR133B,1
MIR34B,1
MIR222,1
MIRLET7B,1
MIR372,1
MIR429,1
MIRLET7G,1
MIRLET7A3,1
MXRA5,1
CEACAM5,1
SKP2,1
RIOX2,1
LUCAT1,1
LINC00511,1
NRG1,1
HOTAIR,1
PVT1,1
GAS5,1
NEAT1,1
UCA1,1
MALAT1,1
LCAL1,1
XIST,1
SNHG1,1
AFAP1-AS1,1
MIR4435-2HG,1
MEG3,1
TUG1,1
CDKN2B-AS1,1
CCAT2,1
CCAT1,1
BANCR,1
SPRY4-IT1,1
HOTTIP,1
LINC00673,1
SOX2-OT,1
PCAT1,1
LINC-ROR,1
SERPINB3,1
TP53COR1,1
GAS6-AS1,1
FENDRR,1
HOXA11-AS,1
CASC2,1
LINC00460,1
HNF1A-AS1,1
PANDAR,1
DANCR,1
ZFAS1,1
BCYRN1,1
LINC00968,1
CASC9,1
ADAM12,1
SBF2-AS1,1
LINC01133,1
AGAP2-AS1,1
FEZF1-AS1,1
MIR31HG,1
BCAR4,1
LINC00312,1
KCNQ1OT1,1
LINC00261,1
TINCR,1
PPIEL,1
PCAT6,1
DGCR5,1
SNHG16,1
BLACAT1,1
TP73-AS1,1
SNHG12,1
H19,1
HAGLR,1
SNHG7,1
SNHG15,1
TCF7,1
GACAT2,1
HIF1A-AS1,1
LINC01116,1
MIAT,1
TUSC7,1
STK4,1
LINC00857,1
ADAMTS9-AS2,1
LINC00313,1
SNHG20,1
TATDN1,1
FOXD2-AS1,1
RGMB-AS1,1
LINC00342,1
LINC01433,1
PCAT7,1
GHET1,1
LINC01627,1
RMRP,1
MIR22HG,1
SPAAR,1
LINC01628,1
RBM38,1
LINC00858,1
TP53TG1,1
KCNMB2-AS1,1
TRPM2-AS,1
LINC01186,1
ASAP1-IT1,1
EPB41L4A-DT,1
GAS5-AS1,1
CASC8,1
IQANK1,1
LINC00473,1
GGPS1,1
SLC16A1-AS1,1
COTL1,1
IRAIN,1
MAFA-AS1,1
ZEB2-AS1,1
ZNF461,1
NEXN-AS1,1
LINC00210,1
GPSM2,1
GNAS-AS1,1
ZNRD1ASP,1
IGF2-AS,1
PCBP2-OT1,1
CPS1-IT1,1
SGO1-AS1,1
MALINC1,1
ARHGAP27P1,1
C14orf132,1
CACNA1G-AS1,1
DLGAP2,1
FAR2P1,1
