Gene,Label
CDKN2A,1
BRAF,1
NRAS,1
KIT,1
CTNNB1,1
MAP2K1,1
PTEN,1
GNAQ,1
GNA11,1
MIR34A,1
MIR182,1
MIR222,1
MIR193B,1
MIR23B,1
FBN1,1
SNAPC5,1
MIR221,1
MIR205,1
MIRLET7B,1
MIR532,1
CXCL8,1
SAMMSON,1
SPRY4-IT1,1
STAT1,1
RMEL3,1
CDKN2B-AS1,1
BANCR,1
PVT1,1
CASC15,1
MALAT1,1
H19,1
HOTAIR,1
CCL27,1
LINC-ROR,1
UCA1,1
GAS5,1
XIST,1
LINC00673,1
SNHG5,1
COL17A1,1
ILF3-DT,1
LINC01324,1
MEG3,1
PAUPAR,1
SOX2-OT,1
LINC00032,1
ABALON,1
HOTAIRM1,1
HOXA-AS2,1
IFNG-AS1,1
LINC00707,1
MDC1-AS1,1
NKILA,1
NRIR,1
RMST,1
THRIL,1
WFDC21P,1
MC1R,1
CDK4,1
MITF,1
MIR211,1
MLANA,1
MAGEA10,1
MIR137,1
MIR200C,1
MIR204,1
MAGEA3,1
MIR106A,1
MAGEA1,1
IL24,1
MIR17,1
MIR149,1
MIR31,1
MIR193A,1
MIR30B,1
MIR200A,1
MIR27A,1
MIR140,1
MIR15A,1
MIR224,1
MIR338,1
MIR324,1
MIR374A,1
MIR139,1
MIR28,1
HRAS,1
MIR210,1
CSPG4,1
MIR200B,1
MIR141,1
MIR122,1
MAGEA4,1
MIR183,1
MIR34C,1
MIR100,1
MIR19A,1
MIR181A1,1
MIR191,1
ERBB4,1
MIR96,1
MIRLET7G,1
MAGEC1,1
MIR144,1
MIR127,1
MIRLET7E,1
MIR128-1,1
MIRLET7D,1
MIR107,1
MIR135B,1
MIR331,1
MIR185,1
MIR215,1
MIR184,1
MIR216A,1
MIR199B,1
MIR302A,1
MIR302B,1
MIR154,1
MIR190A,1
MIR302C,1
RAF1,1
MIR95,1
SLC45A2,1
MIR34B,1
MIR302D,1
GPNMB,1
MIR323A,1
MAGED1,1
PIK3CA,1
AKT1,1
STK11,1
PDGFRA,1
MCAM,1
MIR128-2,1
MIR181A2,1
MIR325,1
BAGE,1
MIA,1
MIA2,1
MAGEA2,1
MAGEA6,1
PRAME,1
MAGEA2B,1
MAGEA12,1
MAGEA11,1
BAGE5,1
CD63,1
MAP2K2,1
ADAM7,1
MAGEA9,1
PMEL,1
MAGEC2,1
MAGEA8,1
FAP,1
TP53,1
NIBAN2,1
BAP1,1
MAGEA5P,1
MAGED4B,1
BAGE3,1
BAGE4,1
MELTF,1
TRPM1,1
MAGED2,1
TYR,1
MAGEE1,1
CTAG2,1
MAGEH1,1
MAGEB3,1
MAGEB2,1
MAGEE2,1
MAGEB1,1
IL2,1
AKT3,1
SDCBP,1
AIM2,1
TERT,1
KISS1,1
CDK6,1
TYRP1,1
OTOR,1
POT1,1
S100B,1
ING1,1
LRRC56,1
IFIH1,1
BAGE2,1
ABCB5,1
MAGEA9B,1
MAGED4,1
MMP16,1
XRCC3,1
POU3F2,1
CXCL1,1
SF3B1,1
CDKN1A,1
MYC,1
BIRC7,1
CXCR2,1
KDM5B,1
CRYBG1,1
CD274,1
ADAM29,1
PDCD1,1
MTAP,1
BAMBI,1
MAGEB10,1
STK19,1
PTK2,1
EPHA2,1
ENPP2,1
EWSR1,1
MAGEF1,1
MAGEB4,1
MIA3,1
ATF1,1
ALCAM,1
PXDN,1
MAGEL2,1
PHF19,1
NAB2,1
TFAP2A,1
WNT5A,1
TRAPPC1,1
OCA2,1
BRMS1,1
BRCA2,1
DCT,1
S100A6,1
HHAT,1
CITED1,1
KIDINS220,1
LINC00328,1
ANKRD36B,1
IFNA1,1
PNN,1
KRAS,1
TNFRSF10B,1
MIB2,1
FLT4,1
MTOR,1
CTAG1B,1
EZH2,1
CTLA4,1
RAC1,1
IFNG,1
CXCL2,1
MTDH,1
CMM,1
IL19,1
BCL2,1
VEGFA,1
IFNA2,1
MMP2,1
ERBB2,1
TNF,1
RPS27,1
CXCL3,1
PWWP3A,1
BSG,1
CSF2,1
NDN,1
MRPL28,1
PLXNC1,1
ABL1,1
FGF2,1
CASP3,1
HOXB7,1
IFNB1,1
PIK3R1,1
EIF2AK2,1
KLRD1,1
HLA-DRB1,1
PRKDC,1
TM9SF4,1
ICAM1,1
CCND1,1
CCL20,1
MAP2K4,1
CDH1,1
CD44,1
B2M,1
DDX58,1
NME1,1
GSDME,1
IL10,1
CTNND1,1
IDH1,1
MAPK1,1
NF2,1
CASP8,1
PLCB4,1
FBXW7,1
FGF3,1
FYN,1
ARAF,1
HLA-A,1
CDH2,1
CASP9,1
SOX10,1
CDKN2B,1
MMP14,1
IL4,1
STAT3,1
ANXA5,1
BCL2L1,1
VIM,1
MMP9,1
PAX3,1
ASIP,1
VTN,1
TNFSF10,1
MGMT,1
ADAM10,1
PNPT1,1
MCL1,1
ETV1,1
LIF,1
FAS,1
PHIP,1
KDR,1
BIRC5,1
AURKA,1
FASLG,1
FLNA,1
HPSE,1
TRRAP,1
PPP6C,1
KLRC1,1
APAF1,1
PARP1,1
CREBBP,1
CXCR1,1
MAGEB18,1
GRIN2A,1
THBS1,1
NGFR,1
CD80,1
ITGB1,1
GZMB,1
ING3,1
MAGEB16,1
PLAT,1
BCL2L11,1
NSMCE3,1
GAGE1,1
MET,1
CYCS,1
IL15,1
VEGFC,1
MAGEC3,1
MMP1,1
RAB38,1
IL7,1
RPS6KA2,1
FES,1
MAGEB6,1
GNAS,1
PIR,1
CDH3,1
ST8SIA1,1
JUN,1
CDK2,1
CXCR4,1
NCK1,1
SPANXC,1
PYCARD,1
OSM,1
IL1A,1
FLOT2,1
NCAPG,1
CDH5,1
HLA-B,1
ARMC9,1
DSCR8,1
PPP1R15A,1
PLAU,1
CDKN1B,1
PWWP3B,1
TIMP2,1
IDO1,1
LGALS3,1
TIMP1,1
MDM2,1
LLGL1,1
GSDMC,1
MAGEB5,1
ADAM12,1
ENO2,1
LOX,1
EPHB4,1
LAMP1,1
KLRK1,1
CFLAR,1
BAX,1
PECAM1,1
CCN4,1
HGF,1
HLA-G,1
MKI67,1
CREB1,1
DDR1,1
ITK,1
EPHA4,1
