Gene,Label
LIG4,1
CCND1,1
TP53,1
KRAS,1
FGFR3,1
MIR15A,1
MIR19A,1
MIR25,1
MIR106B,1
MIR93,1
MIR32,1
MIR181A2,1
ST3GAL6-AS1,1
HOTAIR,1
PVT1,1
TUG1,1
GAS5,1
PCAT1,1
UCA1,1
CCAT1,1
LAMA5-AS1,1
FAM135A,1
MALAT1,1
TP73-AS1,1
H19,1
MEG3,1
PDIA3P1,1
MIR125A,1
MIR140,1
MIRLET7B,1
MIR335,1
MIR342,1
MIR99B,1
MIRLET7E,1
MIR561,1
B2M,1
CDKN2C,1
HRAS,1
CRBN,1
IL7R,1
FLT3,1
DIS3,1
CDK4,1
ATM,1
CYLD,1
NRAS,1
MYD88,1
AURKA,1
DNMT3A,1
HDAC4,1
PTPN11,1
TET2,1
PIK3CA,1
CREBBP,1
IDH2,1
KMT2D,1
IDH1,1
TRAF5,1
SGK1,1
NCOR2,1
TCF3,1
NF1,1
YAP1,1
KMT2C,1
BRAF,1
LATS1,1
MST1R,1
BARD1,1
PIK3R2,1
NKX2-1,1
KDM5C,1
FAT1,1
H1-4,1
SH2B3,1
BAP1,1
P2RY8,1
RXRA,1
BCORL1,1
TET3,1
H3C1,1
ERF,1
ARID4A,1
EIF1AX,1
H2AC16,1
H2AC17,1
LRRC56,1
MGA,1
RECQL4,1
SAMHD1,1
SFTA3,1
TET2-AS1,1
TRNT1,1
IL6,1
CD19,1
MCL1,1
TNFSF11,1
NCAM1,1
CCND3,1
BCL2L1,1
ITGA4,1
IRF4,1
NSD2,1
CD44,1
ABCB1,1
IL6R,1
FN1,1
CSF3,1
STAT3,1
BCL2,1
CD38,1
MYEOV,1
TNFRSF17,1
MYOM2,1
MYC,1
IL6ST,1
CD79A,1
IFNA1,1
CCL3,1
ANXA5,1
PRDM1,1
VEGFA,1
DKK1,1
TNFRSF11B,1
IL11,1
XBP1,1
BCL2L11,1
CASP8,1
CCND2,1
CD40LG,1
IL3,1
TNFRSF11A,1
CXCL12,1
CASP3,1
TNFSF10,1
PAX5,1
IL2,1
CASP9,1
OSM,1
CXCL8,1
HGF,1
TNFRSF13B,1
PTPRC,1
CSF2,1
PTHLH,1
IGF1,1
CD40,1
XIAP,1
JAG2,1
DAZAP2,1
CCR6,1
NFKBIA,1
EPO,1
IL4,1
FAS,1
CFLAR,1
HSP90AA1,1
KLRK1,1
SFRP2,1
BIRC2,1
ICAM1,1
CXCR4,1
IGF1R,1
TNFRSF10A,1
BGLAP,1
IFNA2,1
HPSE,1
IL7,1
CD27,1
TNFSF13B,1
NFKB2,1
IL1B,1
CD79B,1
CTAG1B,1
ITGA5,1
BBC3,1
HMMR,1
CD80,1
BIRC3,1
SPA17,1
CD28,1
VCAM1,1
H2AC18,1
CYCS,1
BIRC5,1
FGF2,1
CDKN1A,1
MAPK1,1
ITGB1,1
LIF,1
JAK1,1
IL15,1
LYN,1
LTA,1
DDIT3,1
CD58,1
KITLG,1
PARP1,1
SPP1,1
CCL4,1
TNFRSF10C,1
AKT1,1
BAX,1
TNFRSF10B,1
MIR17,1
FASLG,1
MET,1
HDAC9,1
ICOSLG,1
ITGAL,1
MTOR,1
MIR21,1
CSF1,1
TYK2,1
MAPK8,1
CD47,1
ACP5,1
CDK2,1
CD33,1
NTRK2,1
CHUK,1
SDC1,1
SFRP1,1
STAT1,1
CUBN,1
JAK2,1
