Gene,PC_1 prostate tumor,PC_1 matched normal tissue,PC_2 prostate tumor,PC_2 matched normal tissue,PC_3 prostate tumor,PC_3 matched normal tissue,PC_4 prostate tumor,PC_4 matched normal tissue,PC_5 prostate tumor,PC_5 matched normal tissue,PC_6 prostate tumor,PC_6 matched normal tissue,PC_7 prostate tumor,PC_7 matched normal tissue,PC_8 prostate tumor,PC_8 matched normal tissue,PC_9 matched normal tissue,PC_9 prostate tumor,PC_10 matched normal tissue,PC_10 prostate tumor
PGAM1,72.226,93.7993,97.3708,71.204,75.4613,79.3812,68.6537,84.3301,51.5185,73.6035,72.254,83.8962,81.5389,99.9239,67.6439,82.6327,66.5643,78.2535,111.0933,87.2638
TBC1D8,33.7877,18.1404,16.032,20.2177,17.6475,30.6131,23.252,18.9917,23.8488,25.9435,17.751,15.9054,17.3731,9.991,22.5034,24.3934,10.3749,10.3115,13.1996,26.8026
SLC43A2,5.8097,8.7804,7.9419,5.2675,11.9776,7.4976,7.9728,11.2972,6.7822,9.2745,10.1937,8.9638,9.2662,9.9902,3.3317,6.5375,12.3782,10.7619,4.4091,10.5412
MSC,1.8309,2.9673,1.5474,9.2969,3.1074,2.3316,1.8098,3.4846,2.1615,2.0051,1.7,3.7754,3.775,9.9896,0.7337,2.0108,8.1203,5.9484,2.1606,2.2882
ARL6IP4,85.3522,95.3441,97.6047,75.0001,67.2959,71.0882,67.9174,136.9698,95.9568,89.5509,92.3939,87.0557,107.6545,99.8708,98.8358,124.8534,101.0449,114.1401,142.7477,112.0384
TCF3,15.7396,13.2552,13.7265,18.8422,10.6135,12.3525,9.4547,11.5596,12.4443,12.1411,12.0562,12.9297,10.3952,9.9864,7.1656,8.4961,10.0955,11.6942,8.7853,12.4594
ICAM1,4.7788,11.9207,14.4697,30.2372,14.8617,7.2762,10.9496,22.1272,9.6372,9.8067,8.0874,9.2665,14.5637,99.8591,1.8397,4.77,26.0093,19.9925,4.3797,13.2802
GALNT7,74.4204,12.2611,27.8932,29.4759,47.4121,33.7091,31.7968,12.078,39.7598,38.1515,54.3588,16.6815,38.2291,9.9835,61.6355,12.849,24.7253,17.3979,9.843,43.1017
NDUFB2,89.094,83.8759,67.0561,48.2859,121.4949,42.8292,52.2329,83.1416,87.6191,59.5899,75.8789,61.6867,115.2322,99.7716,91.102,88.6876,75.216,90.7777,163.8311,70.0521
MCAM,9.2733,28.2783,39.9828,11.2035,29.8553,35.7198,21.1678,18.3535,18.7122,36.2309,34.7921,35.3109,43.6093,99.7692,9.8777,49.2249,51.2477,28.3454,17.1527,31.8893
ZNF692,27.4807,19.7402,13.8022,25.7591,13.4729,13.6971,12.9457,15.3205,22.7828,28.255,15.5404,16.853,20.5262,9.9763,13.178,15.5765,14.0646,14.4745,15.7496,19.6667
NCOA6,12.3735,13.2103,12.5861,14.5547,8.8122,16.4557,12.1003,7.0722,10.9041,12.2928,9.8199,13.2233,8.1642,9.9698,10.4975,8.8709,7.7408,8.5655,5.5425,11.6974
C19orf25,7.8831,12.4,9.3533,7.8035,7.9517,8.5529,10.2507,11.2012,8.6595,9.5569,8.084,10.1521,10.8938,9.9679,9.2578,10.6677,7.9748,8.768,15.4589,11.0079
TLCD1,14.9087,12.6993,12.761,28.9103,7.8429,5.8548,11.0565,10.0123,27.4935,13.4292,18.9217,5.3444,23.8688,9.9664,27.4969,9.1776,13.8009,7.5595,10.6205,14.4694
HSH2D,15.9444,8.1088,10.4747,9.5231,11.2479,4.2928,5.9107,6.4369,15.0037,14.4141,8.7735,5.7255,7.8138,9.9613,9.3546,4.269,9.3994,8.392,2.3368,9.3013
PVR,13.7812,12.8635,7.0543,8.4985,6.9002,9.1813,5.7651,5.4693,9.6938,10.7677,8.8909,9.8847,10.0423,9.958,9.6625,8.5647,5.7946,5.1675,6.0354,8.4793
