Gene,Label
CHEK2,1
PTEN,1
MXI1,1
AR,1
BRCA2,1
CDH1,1
KLF6,1
ZFHX3,1
MAD1L1,1
HOXB13,1
TP53,1
MIR145,1
MIR221,1
MIR21,1
MIR17,1
MIR222,1
MIR146A,1
MIR23B,1
MIR205,1
POLK,1
MIRLET7C,1
MIR20A,1
MIR106B,1
MIR15A,1
MIR200B,1
MIR34A,1
MIR16-1,1
MIR203A,1
MIR331,1
EPHB2,1
MIR127,1
MIR449A,1
MIR521-1,1
RNASEL,1
ELAC2,1
MSMB,1
SRD5A2,1
MSR1,1
HPC3,1
HPC14,1
HPC10,1
PCAP,1
HPC4,1
HPC5,1
BRCA1,1
HPC15,1
HPC6,1
HPC7,1
HNF1B,1
ATM,1
NBN,1
RAD51D,1
PCA3,1
PCGEM1,1
PCAT29,1
PCAT1,1
SCHLAP1,1
PRNCR1,1
CDKN2B-AS1,1
PCAT7,1
PCAT18,1
CBR3-AS1,1
CTBP1-AS,1
PCAT14,1
PCAT5,1
SPRY4-IT1,1
HOTAIR,1
PCOTH,1
PCAT2,1
PVT1,1
POU5F1B,1
PCSEAT,1
NEAT1,1
PCAT6,1
TERC,1
CCAT2,1
MALAT1,1
GAS5,1
UCA1,1
XIST,1
TP53COR1,1
TUG1,1
HOTTIP,1
DANCR,1
FENDRR,1
SOCS2-AS1,1
RNY1,1
SNHG1,1
LINC00963,1
KCNQ1OT1,1
MIAT,1
HCG11,1
TRPM2-AS,1
SNHG5,1
ZFAS1,1
LINC01138,1
CASC2,1
SRA1,1
IGF2-AS,1
THBS4,1
MEG3,1
FALEC,1
RNY3,1
EGOT,1
SMKR1,1
H19,1
DDX19A-DT,1
DRAIC,1
DUXAP9,1
HULC,1
LINC01564,1
LRRC74B,1
POTEF-AS1,1
PRINS,1
PTENP1,1
SUZ12P1,1
WARS2-IT1,1
XLOC_007697,1
XLOC_008559,1
XLOC_009911,1
MIR199A1,1
MIR141,1
FOLH1,1
MIR143,1
MIR182,1
MIR126,1
MIR195,1
MIR183,1
MIR29A,1
MIR224,1
MIR148A,1
MIR375,1
MIR96,1
MIR25,1
MIR100,1
MIR210,1
MIR30A,1
MIR214,1
MIR125A,1
MIR31,1
MIR99A,1
