Gene,Label
MIR203A,1
PSORS5,1
PSORS4,1
PSORS6,1
PSORS3,1
PSORS9,1
PSORS10,1
PSORS7,1
PSORS8,1
PSORS11,1
PSORS1C3,1
PRINS,1
MIR146A,1
MIR21,1
MIR142,1
MIR31,1
MIR146B,1
MIR200A,1
MIR381,1
MIR17,1
MIR122,1
MIR326,1
MIR22,1
MIR197,1
MIR106A,1
MIR20A,1
MIR100,1
MIR10A,1
MIRLET7E,1
MIR215,1
CDSN,1
MIR133B,1
MIR141,1
MIR30E,1
MIR518B,1
MIR99B,1
CARD14,1
IL36RN,1
TNF,1
HLA-C,1
CCHCR1,1
PSORS1C1,1
FABP5,1
KRT17,1
PSORS1C2,1
S100A7A,1
IL17A,1
KRT16,1
S100A7,1
IL20,1
IL23R,1
TRAF3IP2,1
AP1S3,1
IL36A,1
IL20RA,1
SLC12A8,1
MICA,1
IL12B,1
CCR6,1
S100A9,1
AREG,1
CCL2,1
LTA,1
IL23A,1
S100A8,1
FLG,1
IL19,1
CXCL8,1
KRT10,1
IL22,1
IVL,1
IFNG,1
CCL22,1
IL10,1
ADAM17,1
DEFB4A,1
LORICRIN,1
IL4,1
IL6,1
CAMP,1
PI3,1
TEK,1
ITGAL,1
IL17D,1
ICAM1,1
IL36G,1
CCL20,1
VDR,1
IFIH1,1
ACE,1
FBXL19,1
IL1B,1
IL2,1
FLG2,1
CXCL10,1
RARRES2,1
DDX58,1
IL17B,1
IL1A,1
SERPINB4,1
IL13,1
TGM1,1
IL18,1
IL21,1
SELE,1
IL24,1
CCL27,1
PTPN22,1
CXCR3,1
TGFA,1
IL2RA,1
IL15,1
KRT14,1
CCL5,1
CRNN,1
CXCL9,1
SDR16C5,1
CCL17,1
TNFRSF1A,1
ALOX5,1
S100A12,1
CTLA4,1
SERPINB13,1
IL31,1
ELANE,1
NOD2,1
KLRD1,1
TNFRSF1B,1
TLR9,1
CD58,1
LYNX1,1
IL5,1
FGF7,1
EGF,1
KRT1,1
ITGB2,1
IL1R1,1
PLAAT4,1
PDE4A,1
SERPINB3,1
KLK7,1
KLK8,1
CXCL1,1
HLA-B,1
CCR10,1
VIP,1
STAT3,1
KRT5,1
TLR2,1
KIR2DL3,1
CD4,1
KDR,1
APOBEC3A,1
VCAM1,1
CSTA,1
CCR4,1
IL11,1
OSM,1
MGST2,1
HLA-A,1
RARS1,1
KRT15,1
KLK6,1
HLA-DRB1,1
IRF1,1
CXCR1,1
ALOX12,1
GATA3,1
HBEGF,1
JAK1,1
CASP14,1
CD69,1
IL17F,1
ITGB1,1
IRF2,1
SLPI,1
CD40,1
CCR7,1
KIR3DL1,1
IL7,1
NGF,1
TACR1,1
FCGR3A,1
SLURP2,1
SOCS3,1
IL6R,1
ITGA4,1
LTA4H,1
IL17RA,1
LCE3B,1
CRHR1,1
