Gene,Label
HLA-DRB1,1
PDCD1,1
HLA-DQB1,1
NR1H3,1
MIR326,1
MS2,1
MS3,1
MS4,1
IFNG-AS1,1
SNORA40,1
MIR17,1
MIR142,1
MIR223,1
CCR5,1
MIR599,1
MIR145,1
MIR20B,1
MIR20A,1
MIR18B,1
MIR422A,1
MIR96,1
MIR491,1
MIR1275,1
MIR584,1
MIR664A,1
MIR186,1
MBP,1
TNFRSF1A,1
IL7R,1
IFNB1,1
MOG,1
ERVW-1,1
IL17A,1
ITGA4,1
CTLA4,1
CCR5AS,1
IL23A,1
APOE,1
ICAM1,1
PTPRC,1
CIITA,1
TALDO1,1
IL12B,1
IL10,1
PLP1,1
TNF,1
HLA-A,1
AQP4,1
IFNG,1
ADAM17,1
IL4,1
PTGDS,1
MX1,1
CLEC16A,1
MPZ,1
IL2,1
CXCR3,1
PRF1,1
IL6,1
CD6,1
MMP9,1
MAG,1
CXCL10,1
PADI2,1
HNRNPA1,1
IFNA1,1
IL2RA,1
IL1B,1
CD24,1
BDNF,1
CNP,1
CCL2,1
IFNAR1,1
FCRL3,1
CCR6,1
TAGAP,1
KIF21B,1
CCL5,1
CNR1,1
TNFSF13B,1
VCAM1,1
SP140,1
LMNB1,1
CCR1,1
LTA,1
GFAP,1
NECTIN2,1
OPALIN,1
ABCG2,1
CD86,1
TPPP,1
VDR,1
FOXP3,1
CCL3,1
CXCL11,1
IFNAR2,1
CD40,1
CD80,1
NOS2,1
MOBP,1
CNR2,1
IL5,1
CLDN11,1
CXCL9,1
PADI4,1
POLG,1
CRYAB,1
ADGRE5,1
NGF,1
CD28,1
SPP1,1
TBATA,1
CNTF,1
CCR7,1
IL7,1
STAT1,1
CD4,1
CXCL13,1
CYFIP2,1
IL1RN,1
CSGALNACT1,1
NEFL,1
MIR155,1
CYP27B1,1
RTN4,1
IDO1,1
IL13,1
CXCR5,1
CCL4,1
TNFRSF13C,1
ITGAL,1
CD52,1
IL18,1
HAVCR2,1
IL2RB,1
RTN4R,1
FASLG,1
TSPO,1
PPARG,1
TIMP1,1
TNFRSF1B,1
SH2D2A,1
HSPD1,1
HLA-DQA1,1
PTPN22,1
CCL7,1
FAAH,1
TNFRSF12A,1
MIR146A,1
CXCL1,1
GC,1
CHIT1,1
IRF1,1
CCR3,1
HLA-DPB1,1
IL1R1,1
CD58,1
CX3CR1,1
CXCL12,1
TNFSF10,1
MS,1
TLR3,1
IL15,1
IL16,1
MBL2,1
CD69,1
C3AR1,1
CASP1,1
HLA-G,1
CCR4,1
SOCS1,1
HMGCR,1
CCL21,1
CD274,1
MMP12,1
CD1D,1
PECAM1,1
IL9,1
MMP7,1
IL4R,1
CCL11,1
CXCR2,1
CD27,1
LIF,1
MIR21,1
CD8A,1
PDE4A,1
ITGB2,1
PPARA,1
SELPLG,1
MMP19,1
BCL2L1,1
CD46,1
ARRB1,1
CXCL8,1
CASP8,1
TLR4,1
CD2,1
MIF,1
SOCS3,1
NOTCH3,1
JAG1,1
AOC3,1
IFNGR1,1
