source,target
ABCF1,A1BG
IL6,A1BG
VASP,A1BG
ACVR1B,A2M
SERPINC1,A2M
CD2,A2M
CNTF,A2M
KLF6,A2M
CRP,A2M
CTSD,A2M
CTSG,A2M
ELANE,A2M
ELN,A2M
FBN2,A2M
FLT1,A2M
HGF,A2M
IFNG,A2M
IL1A,A2M
IL1B,A2M
IL6,A2M
IL11,A2M
INS,A2M
IRF1,A2M
JUN,A2M
RPSA,A2M
LPL,A2M
LRP1,A2M
LRPAP1,A2M
LTF,A2M
MBP,A2M
MMP2,A2M
NFKB1,A2M
SERPINB5,A2M
PLAT,A2M
PLG,A2M
PRL,A2M
TMPRSS15,A2M
BRD2,A2M
SHBG,A2M
STAT3,A2M
TNF,A2M
VEGFA,A2M
ADAM19,A2M
RIPK1,A2M
IL32,A2M
UIMC1,A2M
SFTPA1,A2M
NAT2,NAT1
CYP1A2,NAT1
HSF1,NAT1
SNAP25,NAT1
VSX1,NAT1
NAT1,NAT2
CYP1A2,NAT2
IFNA1,NAT2
TBXAS1,NAT2
A2M,SERPINA3
APOE,SERPINA3
CAT,SERPINA3
CD40LG,SERPINA3
CEACAM7,SERPINA3
CNTF,SERPINA3
CRYBA4,SERPINA3
CTSD,SERPINA3
CTSG,SERPINA3
FBL,SERPINA3
F3,SERPINA3
FASN,SERPINA3
FOXJ1,SERPINA3
GPI,SERPINA3
SERPIND1,SERPINA3
HGF,SERPINA3
NR4A1,SERPINA3
IFNG,SERPINA3
IGF2,SERPINA3
IL1A,SERPINA3
IL1B,SERPINA3
IL4,SERPINA3
IL6,SERPINA3
IRF6,SERPINA3
JUN,SERPINA3
JUND,SERPINA3
LIF,SERPINA3
CTAGE5,SERPINA3
MMP2,SERPINA3
MUC1,SERPINA3
NFIX,SERPINA3
NFKB1,SERPINA3
ORM2,SERPINA3
OSM,SERPINA3
SERPINB6,SERPINA3
PLAT,SERPINA3
PLG,SERPINA3
PSG2,SERPINA3
RELA,SERPINA3
TNF,SERPINA3
VIM,SERPINA3
NPEPPS,SERPINA3
GGTLC1,SERPINA3
IRAK1BP1,SERPINA3
ACTBL2,SERPINA3
NR3C1,AADAC
PRDX2,AADAC
