source,target
ATP6V1G2-DDX39B,REST
VARS,REST
REXO1L2P,REST
REXO1L1P,REST
NBPF14,REST
MIR3687-1,REST
MIR3648-1,REST
MILR1,REST
LOC401242,REST
LINC00685,REST
HCG26,REST
FCGR1B,REST
FAM101B,REST
TNF,REST
RNF39,REST
ZFP57,REST
TRIM40,REST
TRIM26,REST
GTPBP6,REST
FLOT1,REST
FAM21A,REST
TCF19,REST
PRRC2A,REST
GNL1,REST
CYP21A2,REST
EHMT2,REST
BRD2,REST
GPR89B,REST
NEU1,REST
TNXB,REST
HCP5,REST
HLA-E,REST
DDX39B,REST
SLC25A26,REST
LSM2,REST
ATP6V1G2-DDX39B,RREB1
VARS,RREB1
REXO1L2P,RREB1
REXO1L1P,RREB1
NBPF14,RREB1
MIR3687-1,RREB1
MIR3648-1,RREB1
MILR1,RREB1
LOC401242,RREB1
LINC00685,RREB1
HCG26,RREB1
FCGR1B,RREB1
FAM101B,RREB1
TNF,RREB1
RNF39,RREB1
ZFP57,RREB1
TRIM40,RREB1
TRIM26,RREB1
GTPBP6,RREB1
FLOT1,RREB1
FAM21A,RREB1
TCF19,RREB1
PRRC2A,RREB1
GNL1,RREB1
CYP21A2,RREB1
EHMT2,RREB1
BRD2,RREB1
GPR89B,RREB1
NEU1,RREB1
TNXB,RREB1
HCP5,RREB1
HLA-E,RREB1
DDX39B,RREB1
SLC25A26,RREB1
LSM2,RREB1
ATP6V1G2-DDX39B,PLAG1
VARS,PLAG1
REXO1L2P,PLAG1
REXO1L1P,PLAG1
NBPF14,PLAG1
MIR3687-1,PLAG1
MIR3648-1,PLAG1
MILR1,PLAG1
LOC401242,PLAG1
LINC00685,PLAG1
HCG26,PLAG1
FCGR1B,PLAG1
FAM101B,PLAG1
TNF,PLAG1
RNF39,PLAG1
ZFP57,PLAG1
TRIM40,PLAG1
TRIM26,PLAG1
GTPBP6,PLAG1
FLOT1,PLAG1
FAM21A,PLAG1
TCF19,PLAG1
PRRC2A,PLAG1
GNL1,PLAG1
CYP21A2,PLAG1
EHMT2,PLAG1
BRD2,PLAG1
GPR89B,PLAG1
NEU1,PLAG1
TNXB,PLAG1
HCP5,PLAG1
HLA-E,PLAG1
DDX39B,PLAG1
SLC25A26,PLAG1
LSM2,PLAG1
ATP6V1G2-DDX39B,PAX6
VARS,PAX6
REXO1L2P,PAX6
REXO1L1P,PAX6
NBPF14,PAX6
MIR3687-1,PAX6
MIR3648-1,PAX6
MILR1,PAX6
LOC401242,PAX6
LINC00685,PAX6
HCG26,PAX6
FCGR1B,PAX6
FAM101B,PAX6
TNF,PAX6
RNF39,PAX6
ZFP57,PAX6
TRIM40,PAX6
TRIM26,PAX6
GTPBP6,PAX6
FLOT1,PAX6
FAM21A,PAX6
TCF19,PAX6
PRRC2A,PAX6
GNL1,PAX6
CYP21A2,PAX6
EHMT2,PAX6
BRD2,PAX6
GPR89B,PAX6
NEU1,PAX6
TNXB,PAX6
HCP5,PAX6
HLA-E,PAX6
DDX39B,PAX6
SLC25A26,PAX6
LSM2,PAX6
ATP6V1G2-DDX39B,NHLH1
VARS,NHLH1
REXO1L2P,NHLH1
REXO1L1P,NHLH1
NBPF14,NHLH1
MIR3687-1,NHLH1
MIR3648-1,NHLH1
MILR1,NHLH1
LOC401242,NHLH1
LINC00685,NHLH1
HCG26,NHLH1
FCGR1B,NHLH1
FAM101B,NHLH1
TNF,NHLH1
RNF39,NHLH1
ZFP57,NHLH1
TRIM40,NHLH1
TRIM26,NHLH1
GTPBP6,NHLH1
FLOT1,NHLH1
FAM21A,NHLH1
TCF19,NHLH1
PRRC2A,NHLH1
GNL1,NHLH1
CYP21A2,NHLH1
EHMT2,NHLH1
BRD2,NHLH1
GPR89B,NHLH1
NEU1,NHLH1
TNXB,NHLH1
HCP5,NHLH1
HLA-E,NHLH1
DDX39B,NHLH1
SLC25A26,NHLH1
LSM2,NHLH1
ATP6V1G2-DDX39B,INSM1
VARS,INSM1
REXO1L2P,INSM1
REXO1L1P,INSM1
NBPF14,INSM1
MIR3687-1,INSM1
MIR3648-1,INSM1
MILR1,INSM1
LOC401242,INSM1
LINC00685,INSM1
HCG26,INSM1
FCGR1B,INSM1
FAM101B,INSM1
TNF,INSM1
RNF39,INSM1
ZFP57,INSM1
TRIM40,INSM1
TRIM26,INSM1
GTPBP6,INSM1
FLOT1,INSM1
FAM21A,INSM1
TCF19,INSM1
PRRC2A,INSM1
GNL1,INSM1
CYP21A2,INSM1
EHMT2,INSM1
BRD2,INSM1
GPR89B,INSM1
NEU1,INSM1
TNXB,INSM1
HCP5,INSM1
HLA-E,INSM1
DDX39B,INSM1
SLC25A26,INSM1
LSM2,INSM1
ATP6V1G2-DDX39B,CTCF
VARS,CTCF
REXO1L2P,CTCF
REXO1L1P,CTCF
NBPF14,CTCF
MIR3687-1,CTCF
MIR3648-1,CTCF
MILR1,CTCF
LOC401242,CTCF
LINC00685,CTCF
HCG26,CTCF
FCGR1B,CTCF
FAM101B,CTCF
TNF,CTCF
RNF39,CTCF
ZFP57,CTCF
TRIM40,CTCF
TRIM26,CTCF
GTPBP6,CTCF
FLOT1,CTCF
FAM21A,CTCF
TCF19,CTCF
PRRC2A,CTCF
GNL1,CTCF
CYP21A2,CTCF
EHMT2,CTCF
BRD2,CTCF
GPR89B,CTCF
NEU1,CTCF
TNXB,CTCF
HCP5,CTCF
HLA-E,CTCF
DDX39B,CTCF
SLC25A26,CTCF
LSM2,CTCF
SNPH,IRF1
RFPL4B,IRF1
ATP6V1G2-DDX39B,IRF1
VARS,IRF1
REXO1L2P,IRF1
REXO1L1P,IRF1
NBPF14,IRF1
MIR3687-1,IRF1
MIR3648-1,IRF1
MILR1,IRF1
LOC401242,IRF1
LINC00685,IRF1
HCG26,IRF1
FCGR1B,IRF1
FAM101B,IRF1
TNF,IRF1
RNF39,IRF1
ZFP57,IRF1
TRIM40,IRF1
TRIM26,IRF1
GTPBP6,IRF1
FLOT1,IRF1
FAM21A,IRF1
TCF19,IRF1
PRRC2A,IRF1
GNL1,IRF1
CYP21A2,IRF1
EHMT2,IRF1
BRD2,IRF1
GPR89B,IRF1
NEU1,IRF1
TNXB,IRF1
HCP5,IRF1
HLA-E,IRF1
DDX39B,IRF1
SLC25A26,IRF1
LSM2,IRF1
RFC1,IRF1
B9D2,IRF1
PRY,PBX1
PRY2,PBX1
CSN1S2AP,PBX1
LYN,PBX1
ANKRA2,PBX1
GPC4,PBX1
ATP6V1G2-DDX39B,PBX1
VARS,PBX1
REXO1L2P,PBX1
REXO1L1P,PBX1
NBPF14,PBX1
MIR3687-1,PBX1
MIR3648-1,PBX1
MILR1,PBX1
LOC401242,PBX1
LINC00685,PBX1
HCG26,PBX1
FCGR1B,PBX1
FAM101B,PBX1
TNF,PBX1
RNF39,PBX1
ZFP57,PBX1
TRIM40,PBX1
TRIM26,PBX1
GTPBP6,PBX1
FLOT1,PBX1
FAM21A,PBX1
TCF19,PBX1
PRRC2A,PBX1
GNL1,PBX1
CYP21A2,PBX1
EHMT2,PBX1
BRD2,PBX1
GPR89B,PBX1
NEU1,PBX1
TNXB,PBX1
HCP5,PBX1
HLA-E,PBX1
DDX39B,PBX1
SLC25A26,PBX1
LSM2,PBX1
UGT2B28,PBX1
UGT2B11,PBX1
GMEB1,PBX1
ARHGAP28,PBX1
MCRS1,PBX1
MIR30B,HLF
FRS3,HLF
SSBP2,HLF
ZDHHC16,HLF
LINC00518,HLF
LOC388942,HLF
OR5T3,HLF
LIPI,HLF
RARB,HLF
PARP4,HLF
C12ORF65,HLF
CHST2,HLF
ZNF641,HLF
ATP6V1G2-DDX39B,HLF
VARS,HLF
REXO1L2P,HLF
REXO1L1P,HLF
NBPF14,HLF
MIR3687-1,HLF
MIR3648-1,HLF
MILR1,HLF
LOC401242,HLF
LINC00685,HLF
HCG26,HLF
FCGR1B,HLF
FAM101B,HLF
TNF,HLF
RNF39,HLF
ZFP57,HLF
TRIM40,HLF
TRIM26,HLF
GTPBP6,HLF
FLOT1,HLF
FAM21A,HLF
TCF19,HLF
PRRC2A,HLF
GNL1,HLF
CYP21A2,HLF
EHMT2,HLF
BRD2,HLF
GPR89B,HLF
NEU1,HLF
TNXB,HLF
HCP5,HLF
HLA-E,HLF
DDX39B,HLF
SLC25A26,HLF
LSM2,HLF
RNF38,HLF
EYA1,HLF
HOXD9,HLF
GCN1L1,HLF
CDX2,HLF
FRS3,NFIL3
PMCHL1,NFIL3
PMCHL2,NFIL3
SNORA58,NFIL3
SSBP2,NFIL3
ZDHHC16,NFIL3
CXORF22,NFIL3
LOC100132352,NFIL3
DHRS12,NFIL3
HORMAD1,NFIL3
GUCA2B,NFIL3
NAV3,NFIL3
JMJD1C,NFIL3
BBIP1,NFIL3
POTEF,NFIL3
C12ORF65,NFIL3
C2ORF88,NFIL3
ZNF641,NFIL3
ATP6V1G2-DDX39B,NFIL3
VARS,NFIL3
REXO1L2P,NFIL3
REXO1L1P,NFIL3
NBPF14,NFIL3
MIR3687-1,NFIL3
MIR3648-1,NFIL3
MILR1,NFIL3
LOC401242,NFIL3
LINC00685,NFIL3
HCG26,NFIL3
FCGR1B,NFIL3
FAM101B,NFIL3
TNF,NFIL3
RNF39,NFIL3
ZFP57,NFIL3
TRIM40,NFIL3
TRIM26,NFIL3
GTPBP6,NFIL3
FLOT1,NFIL3
FAM21A,NFIL3
TCF19,NFIL3
PRRC2A,NFIL3
GNL1,NFIL3
CYP21A2,NFIL3
EHMT2,NFIL3
BRD2,NFIL3
GPR89B,NFIL3
NEU1,NFIL3
TNXB,NFIL3
HCP5,NFIL3
HLA-E,NFIL3
DDX39B,NFIL3
SLC25A26,NFIL3
LSM2,NFIL3
GTF3C6,NFIL3
RNF38,NFIL3
EYA1,NFIL3
PHF10,NFIL3
CX3CR1,NFIL3
ABCB9,NFIL3
CLUAP1,NFIL3
ZNF568,NFIL3
HCRTR2,NR4A2
NLGN4Y,NR4A2
PRR5L,NR4A2
BANK1,NR4A2
MIR2861,NR4A2
C2,NR4A2
