source,target
NAB2,Tax/CREB
HECW1,OTX2
HOXC11,VDR
ZNF785,VDR
AAR2,c-Ets-1(p54)
MIR346,POU6F1
C5orf56,IRF2
TMEM115,MYB
HCN4,MYB
CSF2,TTF-1 (Nkx2-1)
EPHA4,Otx1
SND1,XBP-1
MGAT2,XBP-1
KIAA0087,Hand1:E47
CELF6,"LEF1, TCF1"
LRRC8D,Freac-2
PHYHIPL,Cdx-1
C2orf15,Egr-3
MRPL30,Egr-3
MIR3668,PEBP
TJP2,AML
PLEKHG1,AML
RYR1,AML
KRTAP1-5,AML
MIR3668,AML
RPS6KA1,AML
HHIP,AML
ORC6,GCNF
ZNF462,GCNF
TNRC6A,GCNF
MAN2B1,GCNF
FAT3,GCNF
DAPK2,GCNF
HRH2,GCNF
TUBGCP6,GCNF
SLC38A1,GCNF
SRPR,GCNF
WNK1,GCNF
CCDC136,GCNF
HLTF-AS1,GCNF
MIR4667,GCNF
TNNI3K,GCNF
KTN1-AS1,GCNF
NEK10,GCNF
ERBB2IP,GCNF
LOC100996669,GCNF
EVX2,GCNF
WBP1L,GCNF
NKAIN3,GCNF
SRGAP2,GCNF
SOX2-OT,GCNF
TRIM3,GCNF
NRAP,GCNF
KCNMB2,GCNF
CX3CL1,GCNF
MIR218-2,GCNF
TMEM136,GCNF
HOXA13,GCNF
MINOS1,GCNF
MINOS1-NBL1,GCNF
RUFY3,GCNF
CDH20,GCNF
MAP2K7,GCNF
HOXC13,GCNF
TANC1,GCNF
SKOR2,GCNF
RPS6KA1,GCNF
TRPT1,GCNF
BCL11A,GCNF
MLLT3,GCNF
NDP,GCNF
MIR4679-1,GCNF
MIR4734,GCNF
EVX2,ATF6
MIR193A,TCF-4
SFPQ,TCF-4
DPYS,TCF-4
ATP9B,TCF-4
MICAL2,TCF-4
YAP1,TCF-4
ARHGEF2,TCF-4
PHLDB2,TCF-4
TRAIP,TCF-4
ARHGEF28,TCF-4
AKAP2,TCF-4
PRKCB,TCF-4
RMST,TCF-4
NFIX,TCF-4
PCDH17,TCF-4
LINC00461,TCF-4
EVX2,TCF-4
DACT1,TCF-4
SATB1,TCF-4
MIR106A,TCF-4
FOXP2,TCF-4
ZFHX4,TCF-4
DYNC1I2,TCF-4
PEX14,TCF-4
FBXL17,TCF-4
TTN,TCF-4
EBF3,TCF-4
BEND4,TCF-4
ZNRF3,TCF-4
SOX14,TCF-4
ADAMTS19,TCF-4
RAPGEF4,TCF-4
LGR5,TCF-4
CS,TCF-4
TRPM6,TCF-4
EPHA5,TCF-4
EBF3,CDP
PSMD11,CDP
DHRS7C,HSF
PPP1R9A,HSF
ZNF185,HSF
HSPB2,HSF
HSPB2-C11orf52,HSF
FAM122C,HSF
FAM46A,HSF
HSPA1B,HSF
ITPR1,HSF
RGS19,HSF
CRYGN,HSF
OGT,HSF
CMIP,HSF
RNF157,HSF
MIR711,HSF
EFCAB3,HSF
SDK2,HSF
EBF3,HSF
EIF4A2,HSF
NUTF2,HSF
TLE4,HSF
INHBA-AS1,HSF
ANKRD12,HSF
ZDHHC9,HSF
CBX8,HSF
HOXB5,HSF
KCNE2,NFAT2
MIR193A,NFAT2
ADAM10,NFAT2
MFAP3,NFAT2
CNOT6L,NFAT2
IL13,NFAT2
MIR4268,NFAT2
SNORD74,NFAT2
NRXN1,NFAT2
KCNJ16,NFAT2
CNOT4,NFAT2
CD86,NFAT2
MIR1284,NFAT2
FERD3L,NFAT2
KDM2A,NFAT2
PSMA3,NFAT2
FAM43B,NFAT2
MEIS1,IRF1
MIR382,SMAD3
MIR5579,SMAD3
ALX1,SMAD3
LOC100240735,SMAD3
CADM4,SMAD3
RPS6KB1,SMAD3
OSM,SMAD3
EPHX3,SMAD3
LINC00173,SMAD3
CLDN4,SMAD3
MTHFD2L,SMAD3
ARMCX4,SMAD3
CADPS,SMAD3
RGS16,SMAD3
DCTN3,SMAD3
RGS14,SMAD3
SARNP,SMAD3
GBX1,SMAD3
SRRM3,SMAD3
NFKB1,SMAD3
COL4A3,SMAD3
TAL1,SMAD3
KDM6B,SMAD3
KIRREL,SMAD3
LRRC16B,SMAD3
EVI5L,SMAD3
ATN1,SMAD3
NFASC,SMAD3
MYH11,SMAD3
NCKIPSD,SMAD3
MKL2,SMAD3
BEST3,SMAD3
KIAA0226,SMAD3
MGLL,SMAD3
ZNF608,SMAD3
CNNM4,SMAD3
ITIH4,SMAD3
NMNAT2,SMAD3
CYHR1,SMAD3
KHDRBS3,SMAD3
MPPED1,SMAD3
GRM2,SMAD3
ASCC2,SMAD3
CRAT,SMAD3
NOS2,SMAD3
PPRC1,SMAD3
NEUROD2,SMAD3
MLLT4,SMAD3
ARL5C,SMAD3
CRIP3,SMAD3
GSN,SMAD3
MIR135A2,SMAD3
PAPLN,SMAD3
IKZF4,SMAD3
KCNC1,SMAD3
SIRT7,SMAD3
EFNA5,SMAD3
SLC24A4,SMAD3
SMAD3,SMAD3
ARFGAP2,SMAD3
RABGAP1L,SMAD3
