source,target
ALDOA,FBP1
ALDOA,FBP2
ALDOA,PFKL
ALDOA,PFKM
ALDOA,PFKP
ALDOA,TPI1
ALDOA,GAPDH
ALDOA,GAPDHS
ALDOA,TKT
ALDOA,TKTL1
ALDOA,TKTL2
ALDOA,TALDO1
ALDOA,TKFC
ALDOB,FBP1
ALDOB,FBP2
ALDOB,PFKL
ALDOB,PFKM
ALDOB,PFKP
ALDOB,TPI1
ALDOB,GAPDH
ALDOB,GAPDHS
ALDOB,TKT
ALDOB,TKTL1
ALDOB,TKTL2
ALDOB,TALDO1
ALDOB,TKFC
ALDOC,FBP1
ALDOC,FBP2
ALDOC,PFKL
ALDOC,PFKM
ALDOC,PFKP
ALDOC,TPI1
ALDOC,GAPDH
ALDOC,GAPDHS
ALDOC,TKT
ALDOC,TKTL1
ALDOC,TKTL2
ALDOC,TALDO1
ALDOC,TKFC
ALDH2,ADH1A
ALDH2,ADH1B
ALDH2,ADH1C
ALDH2,ADH4
ALDH2,ADH5
ALDH2,ADH6
ALDH2,ADH7
ALDH2,AKR1A1
ALDH2,CYP2U1
ALDH2,HIBADH
ALDH2,ALDH6A1
ALDH2,ABAT
ALDH2,CARNS1
ALDH2,CNDP2
ALDH2,GATM
ALDH2,AOC1
ALDH2,MAOA
ALDH2,MAOB
ALDH2,UPB1
ALDH2,CNDP1
ALDH2,SMOX
ALDH2,GLYCTK
ALDH2,ACYP1
ALDH2,ACYP2
ALDH2,GADL1
ALDH2,CSAD
ALDH1B1,ADH1A
ALDH1B1,ADH1B
ALDH1B1,ADH1C
ALDH1B1,ADH4
ALDH1B1,ADH5
ALDH1B1,ADH6
ALDH1B1,ADH7
ALDH1B1,AKR1A1
ALDH1B1,CYP2U1
ALDH1B1,HIBADH
ALDH1B1,ALDH6A1
ALDH1B1,ABAT
ALDH1B1,CARNS1
ALDH1B1,CNDP2
ALDH1B1,GATM
ALDH1B1,AOC1
ALDH1B1,MAOA
ALDH1B1,MAOB
ALDH1B1,UPB1
ALDH1B1,CNDP1
ALDH1B1,SMOX
ALDH1B1,GLYCTK
ALDH1B1,ACYP1
ALDH1B1,ACYP2
ALDH1B1,GADL1
ALDH1B1,CSAD
ALDH9A1,ADH1A
ALDH9A1,ADH1B
ALDH9A1,ADH1C
ALDH9A1,ADH4
ALDH9A1,ADH5
ALDH9A1,ADH6
ALDH9A1,ADH7
ALDH9A1,AKR1A1
ALDH9A1,CYP2U1
ALDH9A1,HIBADH
ALDH9A1,ALDH6A1
ALDH9A1,ABAT
ALDH9A1,CARNS1
ALDH9A1,CNDP2
ALDH9A1,GATM
ALDH9A1,AOC1
ALDH9A1,MAOA
ALDH9A1,MAOB
ALDH9A1,UPB1
ALDH9A1,CNDP1
ALDH9A1,SMOX
ALDH9A1,GLYCTK
ALDH9A1,ACYP1
ALDH9A1,ACYP2
ALDH3A2,ADH1A
ALDH3A2,ADH1B
ALDH3A2,ADH1C
ALDH3A2,ADH4
ALDH3A2,ADH5
ALDH3A2,ADH6
ALDH3A2,ADH7
ALDH3A2,AKR1A1
ALDH3A2,CYP2U1
ALDH3A2,HIBADH
ALDH3A2,ALDH6A1
ALDH3A2,ABAT
ALDH3A2,CARNS1
ALDH3A2,CNDP2
ALDH3A2,GATM
ALDH3A2,AOC1
ALDH3A2,MAOA
ALDH3A2,MAOB
ALDH3A2,UPB1
ALDH3A2,CNDP1
ALDH3A2,SMOX
ALDH3A2,GLYCTK
ALDH3A2,ACYP1
ALDH3A2,ACYP2
ALDH3A2,GADL1
ALDH3A2,CSAD
ALDH7A1,ADH1A
ALDH7A1,ADH1B
ALDH7A1,ADH1C
ALDH7A1,ADH4
ALDH7A1,ADH5
ALDH7A1,ADH6
ALDH7A1,ADH7
ALDH7A1,AKR1A1
ALDH7A1,CYP2U1
ALDH7A1,BHMT
ALDH7A1,HIBADH
ALDH7A1,ALDH6A1
ALDH7A1,ABAT
ALDH7A1,AADAT
ALDH7A1,CARNS1
ALDH7A1,CNDP2
ALDH7A1,GATM
ALDH7A1,AOC1
ALDH7A1,MAOA
ALDH7A1,MAOB
ALDH7A1,UPB1
ALDH7A1,CNDP1
ALDH7A1,SMOX
ALDH7A1,GLYCTK
ALDH7A1,ACYP1
ALDH7A1,ACYP2
ALDH3A1,ADH1A
ALDH3A1,ADH1B
ALDH3A1,ADH1C
ALDH3A1,ADH4
ALDH3A1,ADH5
ALDH3A1,ADH6
ALDH3A1,ADH7
ALDH3A1,AKR1A1
ALDH3A1,MAOA
ALDH3A1,MAOB
ALDH3A1,AOC2
ALDH3A1,AOC3
ALDH3A1,COMT
ALDH3A1,LRTOMT
ALDH3A1,CNDP1
ALDH3A1,CARNS1
ALDH3A1,ABAT
ALDH3A1,UPB1
ALDH3A1,GADL1
ALDH3A1,CSAD
ALDH3A1,GAD1
ALDH3A1,GAD2
ALDH3A1,SMOX
ALDH3B1,ADH1A
ALDH3B1,ADH1B
ALDH3B1,ADH1C
ALDH3B1,ADH4
ALDH3B1,ADH5
ALDH3B1,ADH6
ALDH3B1,ADH7
ALDH3B1,AKR1A1
ALDH3B1,MAOA
ALDH3B1,MAOB
ALDH3B1,AOC2
ALDH3B1,AOC3
ALDH3B1,COMT
ALDH3B1,LRTOMT
ALDH3B1,CNDP1
ALDH3B1,CARNS1
ALDH3B1,ABAT
ALDH3B1,UPB1
ALDH3B1,GADL1
ALDH3B1,CSAD
ALDH3B1,GAD1
ALDH3B1,GAD2
ALDH3B1,SMOX
ALDH3B2,ADH1A
ALDH3B2,ADH1B
ALDH3B2,ADH1C
ALDH3B2,ADH4
ALDH3B2,ADH5
ALDH3B2,ADH6
ALDH3B2,ADH7
ALDH3B2,AKR1A1
ALDH3B2,MAOA
ALDH3B2,MAOB
ALDH3B2,AOC2
ALDH3B2,AOC3
ALDH3B2,COMT
ALDH3B2,LRTOMT
ALDH3B2,CNDP1
ALDH3B2,CARNS1
ALDH3B2,ABAT
ALDH3B2,UPB1
ALDH3B2,GADL1
ALDH3B2,CSAD
ALDH3B2,GAD1
ALDH3B2,GAD2
ALDH3B2,SMOX
AKR1A1,CRYL1
AKR1A1,RGN
AKR1A1,MIOX
AKR1A1,UGT2B11
AKR1A1,UGT2A1
AKR1A1,UGT2B28
AKR1A1,UGT1A10
AKR1A1,UGT1A8
AKR1A1,UGT1A7
AKR1A1,UGT1A6
AKR1A1,UGT1A5
AKR1A1,UGT1A9
AKR1A1,UGT1A4
AKR1A1,UGT1A1
AKR1A1,UGT1A3
AKR1A1,UGT2A2
AKR1A1,UGT2B4
AKR1A1,UGT2B7
AKR1A1,UGT2B10
AKR1A1,UGT2B15
AKR1A1,UGT2B17
AKR1A1,UGT2A3
AKR1A1,GUSB
AKR1A1,KL
ADH1A,ALDH2
ADH1A,ALDH1B1
ADH1A,ALDH9A1
ADH1A,ALDH3A2
ADH1A,ALDH7A1
ADH1A,MAOA
ADH1A,MAOB
ADH1A,COMT
ADH1A,LRTOMT
ADH1A,LRAT
ADH1A,AWAT2
ADH1A,DGAT1
ADH1A,PNPLA4
ADH1A,ALDH1A1
ADH1A,ALDH1A3
ADH1A,ALDH1A2
ADH1A,AOX1
ADH1A,CYP27C1
ADH1A,ALDH3A1
ADH1A,ALDH3B1
ADH1A,ALDH3B2
ADH1B,ALDH2
ADH1B,ALDH1B1
ADH1B,ALDH9A1
ADH1B,ALDH3A2
ADH1B,ALDH7A1
ADH1B,MAOA
ADH1B,MAOB
ADH1B,COMT
ADH1B,LRTOMT
ADH1B,LRAT
ADH1B,AWAT2
ADH1B,DGAT1
ADH1B,PNPLA4
ADH1B,ALDH1A1
ADH1B,ALDH1A3
ADH1B,ALDH1A2
ADH1B,AOX1
ADH1B,CYP27C1
ADH1B,ALDH3A1
ADH1B,ALDH3B1
ADH1B,ALDH3B2
ADH1C,ALDH2
ADH1C,ALDH1B1
ADH1C,ALDH9A1
