source,target
ARF5,ARFGAP3
CLTA,ARFGAP3
COPB1,ARFGAP3
KDELR2,ARFGAP3
ARF4,ARFGAP3
CLTB,ARFGAP3
ARFGAP1,ARFGAP3
COPG1,ARFGAP3
COPB2,ARFGAP3
KDELR1,ARFGAP3
RAC1,ARFGAP3
COPA,ARFGAP3
GBF1,ARFGAP3
KDELR3,ARFGAP3
RHOA,ARFGAP3
COPG2,ARFGAP3
HRAS,ARFGAP3
ARFGAP2,ARFGAP3
ARF1,ARFGAP3
ARF5,ARF1
CD4,ARF1
RALBP1,ARF1
BET1,ARF1
YKT6,ARF1
GOSR2,ARF1
GPLD1,ARF1
PLEKHA3,ARF1
CLTA,ARF1
EREG,ARF1
CYTH4,ARF1
COPB1,ARF1
AP3B1,ARF1
KDELR2,ARF1
AP4E1,ARF1
RAB11A,ARF1
ARFGEF1,ARF1
TMED2,ARF1
COPE,ARF1
PLD2,ARF1
ACTR3,ARF1
ARFGAP3,ARF1
OSBP,ARF1
KDR,ARF1
PIK3CA,ARF1
GOLPH3,ARF1
TRIP11,ARF1
RAB5A,ARF1
ASAP2,ARF1
NCKAP1L,ARF1
TAMALIN,ARF1
CYTH3,ARF1
ARF6,ARF1
ARAP2,ARF1
TMED10,ARF1
ARF4,ARF1
CLTB,ARF1
RAB1B,ARF1
ARHGAP1,ARF1
RAB6A,ARF1
ARFGAP1,ARF1
COPG1,ARF1
COPB2,ARF1
KDELR1,ARF1
ARHGAP10,ARF1
ARHGAP6,ARF1
GGA1,ARF1
PLD1,ARF1
RAC1,ARF1
AP1B1,ARF1
CYTH1,ARF1
NCF2,ARF1
COPA,ARF1
PI4KB,ARF1
PIP5K1A,ARF1
AP4B1,ARF1
GBF1,ARF1
ARHGAP4,ARF1
OCRL,ARF1
ARFGEF2,ARF1
ACTR2,ARF1
SH3GL2,ARF1
ARHGAP5,ARF1
STAT4,ARF1
AP1G1,ARF1
ARAP1,ARF1
GIT1,ARF1
ARHGAP21,ARF1
PICK1,ARF1
TGOLN2,ARF1
CHN1,ARF1
KDELR3,ARF1
RAB1A,ARF1
AP1M1,ARF1
ARFIP1,ARF1
PLEKHA8,ARF1
CYTH2,ARF1
PIK3R1,ARF1
ASAP1,ARF1
ARFGAP2,ARF1
GGA3,ARF1
USO1,ARF1
RAB5C,ARF1
COPZ1,ARF1
SEC22B,ARF1
CLTC,ARF1
IQSEC1,ARF1
CYFIP1,ARF1
ARFIP2,ARF1
ARF5,GORAB
SCYL1,GORAB
RAB6A,GORAB
RCHY1,GORAB
ARF5,RAB28
GOLGA3,RAB28
TECR,RAB28
SLC25A3,RAB28
LNPEP,RAB28
NRBP1,RAB28
KCNJ13,RAB28
RAP2A,RAB28
TRAP1,RAB28
CFP,RAB28
CANX,RAB28
GNG11,RAB28
GNGT1,RAB28
ATP1B2,RAB28
SLC6A11,RAB28
SNAP25,RAB28
RRAS2,RAB28
MSI1,RAB28
PEBP1,RAB28
VAC14,RAB28
PSMD3,RAB28
CPT1A,RAB28
